File Name,Extension,Size,Created,Modified,Accessed,Path
ai_grid.dbf,.dbf,3.08 MB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2024-04-24 13:04:32,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\ai_grid.dbf
ai_grid.prj,.prj,0.43 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:25,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\ai_grid.prj
ai_grid.shp,.shp,7.06 MB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:25,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\ai_grid.shp
AI_IDW_Shape.dbf,.dbf,0.07 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:25,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\AI_IDW_Shape.dbf
AI_IDW_Shape.prj,.prj,0.43 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:25,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\AI_IDW_Shape.prj
AI_IDW_Shape.shp,.shp,1.24 MB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:25,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\AI_IDW_Shape.shp
ai_shape.dbf,.dbf,0.07 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:25,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\ai_shape.dbf
ai_shape.prj,.prj,0.41 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:25,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\ai_shape.prj
ai_shape.shp,.shp,1.24 MB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:25,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\ai_shape.shp
contour_ai.dbf,.dbf,15.13 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\contour_ai.dbf
contour_ai.lyr,.lyr,7.00 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2024-04-24 13:04:42,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\contour_ai.lyr
contour_ai.prj,.prj,0.41 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\contour_ai.prj
contour_ai.shp,.shp,1.67 MB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\AI_IDW\contour_ai.shp
EBS_IDW_Shape.dbf,.dbf,0.21 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\EBS_IDW\EBS_IDW_Shape.dbf
EBS_IDW_Shape.prj,.prj,0.44 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\EBS_IDW\EBS_IDW_Shape.prj
EBS_IDW_Shape.shp,.shp,144.78 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\EBS_IDW\EBS_IDW_Shape.shp
ebs_strata.dbf,.dbf,3.17 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\EBS_IDW\ebs_strata.dbf
ebs_strata.prj,.prj,0.44 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\EBS_IDW\ebs_strata.prj
ebs_strata.shp,.shp,171.57 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\EBS_IDW\ebs_strata.shp
ebs_survey_boundary.dbf,.dbf,0.30 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\EBS_IDW\ebs_survey_boundary.dbf
ebs_survey_boundary.prj,.prj,0.44 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\EBS_IDW\ebs_survey_boundary.prj
ebs_survey_boundary.shp,.shp,154.04 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\EBS_IDW\ebs_survey_boundary.shp
ENBS_IDW_Shape.dbf,.dbf,0.21 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\ENBS_IDW\ENBS_IDW_Shape.dbf
ENBS_IDW_Shape.prj,.prj,0.44 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\ENBS_IDW\ENBS_IDW_Shape.prj
ENBS_IDW_Shape.shp,.shp,153.66 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\ENBS_IDW\ENBS_IDW_Shape.shp
contour_gmex.dbf,.dbf,5.00 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:27,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\contour_gmex.dbf
contour_gmex.lyr,.lyr,7.00 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2024-04-24 13:05:02,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\contour_gmex.lyr
contour_gmex.prj,.prj,0.41 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:27,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\contour_gmex.prj
contour_gmex.shp,.shp,1.29 MB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:27,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\contour_gmex.shp
GMEX_Boundary.dbf,.dbf,0.07 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:27,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\GMEX_Boundary.dbf
GMEX_Boundary.prj,.prj,0.41 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:27,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\GMEX_Boundary.prj
GMEX_Boundary.shp,.shp,2.76 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:27,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\GMEX_Boundary.shp
GMEX_Fish_Net_10km.dbf,.dbf,12.17 MB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2024-04-24 13:05:08,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\GMEX_Fish_Net_10km.dbf
GMEX_Fish_Net_10km.prj,.prj,0.42 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\GMEX_Fish_Net_10km.prj
GMEX_Fish_Net_10km.shp,.shp,7.56 MB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:26,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\GMEX_Fish_Net_10km.shp
GMEX_IDW_Shape.dbf,.dbf,0.07 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:27,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\GMEX_IDW_Shape.dbf
GMEX_IDW_Shape.prj,.prj,0.41 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:27,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\GMEX_IDW_Shape.prj
GMEX_IDW_Shape.shp,.shp,8.80 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:27,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\GMEX_IDW_Shape.shp
GMEX_Shape_20220130.dbf,.dbf,0.07 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:27,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\GMEX_Shape_20220130.dbf
GMEX_Shape_20220130.prj,.prj,0.41 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:27,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\GMEX_Shape_20220130.prj
GMEX_Shape_20220130.shp,.shp,6.54 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:27,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GMEX_IDW\GMEX_Shape_20220130.shp
contour_goa.dbf,.dbf,17.36 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\contour_goa.dbf
contour_goa.lyr,.lyr,6.50 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2024-04-24 13:05:20,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\contour_goa.lyr
contour_goa.prj,.prj,0.41 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\contour_goa.prj
contour_goa.shp,.shp,2.55 MB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\contour_goa.shp
goa_area.dbf,.dbf,0.08 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\goa_area.dbf
goa_area.prj,.prj,0.43 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\goa_area.prj
goa_area.shp,.shp,589.75 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\goa_area.shp
GOA_Boundary.dbf,.dbf,0.08 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:27,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\GOA_Boundary.dbf
GOA_Boundary.prj,.prj,0.41 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:27,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\GOA_Boundary.prj
GOA_Boundary.shp,.shp,5.99 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:27,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\GOA_Boundary.shp
goa_grid.dbf,.dbf,2.40 MB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\goa_grid.dbf
goa_grid.prj,.prj,0.43 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\goa_grid.prj
goa_grid.shp,.shp,5.23 MB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\goa_grid.shp
GOA_IDW_Shape.dbf,.dbf,0.22 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\GOA_IDW_Shape.dbf
GOA_IDW_Shape.prj,.prj,0.41 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\GOA_IDW_Shape.prj
GOA_IDW_Shape.shp,.shp,13.17 MB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\GOA_IDW_Shape.shp
goa_strata.dbf,.dbf,31.69 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\goa_strata.dbf
goa_strata.prj,.prj,0.43 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\goa_strata.prj
goa_strata.shp,.shp,2.50 MB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\GOA_IDW\goa_strata.shp
HI_IDW_Shape.dbf,.dbf,0.17 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\HI_IDW\HI_IDW_Shape.dbf
HI_IDW_Shape.prj,.prj,0.39 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\HI_IDW\HI_IDW_Shape.prj
HI_IDW_Shape.shp,.shp,138.07 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\HI_IDW\HI_IDW_Shape.shp
NBS_IDW_Shape.dbf,.dbf,0.33 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\NBS_IDW\NBS_IDW_Shape.dbf
NBS_IDW_Shape.prj,.prj,0.44 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\NBS_IDW\NBS_IDW_Shape.prj
NBS_IDW_Shape.shp,.shp,9.36 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:28,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\NBS_IDW\NBS_IDW_Shape.shp
contour_neus.dbf,.dbf,11.33 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:29,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\NEUS_FAL_IDW\contour_neus.dbf
contour_neus.lyr,.lyr,6.50 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2024-04-24 13:05:52,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\NEUS_FAL_IDW\contour_neus.lyr
contour_neus.prj,.prj,0.41 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:29,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\NEUS_FAL_IDW\contour_neus.prj
contour_neus.shp,.shp,1.58 MB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:29,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\NEUS_FAL_IDW\contour_neus.shp
NEUS_Fall_Boundary.dbf,.dbf,0.07 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:29,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\NEUS_FAL_IDW\NEUS_Fall_Boundary.dbf
NEUS_Fall_Boundary.prj,.prj,0.41 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:29,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\NEUS_FAL_IDW\NEUS_Fall_Boundary.prj
NEUS_Fall_Boundary.shp,.shp,3.00 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:29,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\NEUS_FAL_IDW\NEUS_Fall_Boundary.shp
NEUS_FAL_IDW_Shape.dbf,.dbf,0.07 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:29,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\NEUS_FAL_IDW\NEUS_FAL_IDW_Shape.dbf
NEUS_FAL_IDW_Shape.prj,.prj,0.41 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:29,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\NEUS_FAL_IDW\NEUS_FAL_IDW_Shape.prj
NEUS_FAL_IDW_Shape.shp,.shp,138.68 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:29,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\NEUS_FAL_IDW\NEUS_FAL_IDW_Shape.shp
contour_neus.dbf,.dbf,11.33 KB,2025-09-18 20:24:17.828552,2024-08-26 15:06:02.564091,2026-04-12 13:55:30,C:\Users\john.f.kennedy\Documents\ArcGIS\Projects\DisMAP\ArcGIS-Analysis-Python\April 1 2023\Dataset Shapefile Folder\NEUS_SPR_IDW\contour_neus.dbf
