"","Region","SurveyName","Species","Common","TrendCategory","Notes","Haul_Inc_Dec","Bio_Inc_Dec"
"33","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Leptasterias coei truculenta","Giant Aleutian six-rayed star","Potentially Emerging","Preliminary trend - under review",NA,NA
"34","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Lethasterias nanimensis","Black spined sea star","Persistently Present",NA,"Decreasing",NA
"35","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Lethotremus muticus","Docked snailfish","Sporadic - Primarily Present",NA,"Decreasing",NA
"36","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Lithodes aequispinus","Golden king crab","Persistently Present",NA,"Decreasing",NA
"37","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Lycodes concolor","Ebony eelpout","Persistently Present",NA,NA,NA
"38","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Malacocottus zonurus","Darkfin sculpin","Persistently Present",NA,"Decreasing","Decreasing"
"39","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Microstomus pacificus","Dover sole","Persistently Present",NA,NA,"Decreasing"
"40","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Modiolus modiolus","Northern horsemussel","Persistently Present",NA,"Decreasing",NA
"41","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Myoxocephalus polyacanthocephalus","Great sculpin","Persistently Present",NA,NA,NA
"42","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Oregonia gracilis","Graceful decorator crab","Persistently Present",NA,NA,NA
"43","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Pagurus aleuticus","Aleutian hermit","Persistently Present",NA,"Decreasing",NA
"44","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Pagurus brandti","Sponge hermit","Persistently Present",NA,NA,NA
"45","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Pagurus trigonocheirus","Fuzzy hermit","Emerged","Preliminary trend - under review","Decreasing",NA
"46","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Pleurogrammus monopterygius","Atka mackerel","Persistently Present",NA,NA,NA
"47","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Podothecus accipenserinus","Sturgeon poacher","Persistently Present",NA,NA,NA
"48","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Pseudarchaster parelii","Northern scarlet star","Persistently Present",NA,"Decreasing","Decreasing"
"49","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Reinhardtius hippoglossoides","Greenland halibut","Persistently Present",NA,NA,NA
"50","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Rossia pacifica","Eastern pacific bobtail","Persistently Present",NA,NA,NA
"51","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Sarritor frenatus","Sawback poacher","Persistently Present",NA,"Decreasing","Decreasing"
"52","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Sebastes alutus","Pacific ocean perch","Persistently Present",NA,NA,"Decreasing"
"53","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Sebastes borealis","Shortraker rockfish","Persistently Present",NA,NA,NA
"54","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Sebastes melanostictus and S. aleutianus","Blackspotted and rougheye rockfish","Persistently Present",NA,"Increasing",NA
"55","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Sebastes polyspinis","Northern rockfish","Persistently Present",NA,NA,NA
"56","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Sebastes variabilis and S. ciliatus","Dusky and dark rockfish","Persistently Present",NA,NA,NA
"57","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Sebastolobus alascanus","Shortspine thornyhead","Persistently Present",NA,NA,"Decreasing"
"58","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Solaster dawsoni","Morning sun star","Sporadic - Primarily Present",NA,"Decreasing",NA
"59","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Solaster sp. A (Clark 1997)",NA,"Persistently Present",NA,"Decreasing",NA
"60","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Triglops forficatus","Scissortail sculpin","Persistently Present",NA,NA,NA
"61","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Triglops scepticus","Spectacled sculpin","Persistently Present",NA,NA,NA
"62","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Zaprora silenus","Prowfish","Persistently Present",NA,NA,NA
"63","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Anoplopoma fimbria","Sablefish","Sporadic - Primarily Present",NA,"Increasing","Increasing"
"64","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Arctoraja parmifera","Alaska skate","Emerged","Preliminary trend - under review",NA,NA
"65","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Aspidophoroides monopterygius","Alligatorfish","Persistently Present",NA,"Increasing",NA
"66","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Asterias amurensis","North pacific seastar","Persistently Present",NA,NA,NA
"67","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Atheresthes stomias and A. evermanni","Arrowtooth and kamchatka flounders","Persistently Present",NA,NA,NA
"68","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Aulacofusus herendeeni","Thin-ribbed whelk","Persistently Present",NA,"Decreasing",NA
"69","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Bathymaster signatus","Searcher","Persistently Present",NA,NA,NA
"70","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Bathyraja spp.","Skate complex","Persistently Present",NA,NA,NA
"71","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Boreogadus saida","Arctic cod","Persistently Present",NA,"Decreasing",NA
"72","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Chionoecetes bairdi","Tanner crab","Persistently Present",NA,NA,NA
"73","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Chionoecetes opilio","Snow crab","Persistently Present",NA,NA,NA
"74","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Ciliatocardium ciliatum","Hairy cockle","Persistently Present",NA,NA,"Decreasing"
"75","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Clupea pallasii","Pacific herring","Persistently Present",NA,"Increasing",NA
"76","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Crossaster papposus","Common sunstar","Persistently Present",NA,NA,NA
"77","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Ctenodiscus crispatus","Mud star","Persistently Present",NA,NA,NA
"78","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Dasycottus setiger","Spinyhead sculpin","Persistently Present",NA,"Increasing",NA
"79","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Echinarachnius parma","Common sand dollar","Persistently Present",NA,NA,NA
"80","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Elassochirus cavimanus","Purple hermit","Emerged",NA,NA,NA
"81","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Eleginus gracilis","Saffron cod","Persistently Present",NA,"Decreasing","Decreasing"
"82","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Enteroctopus dofleini","North pacific giant octopus","Emerged",NA,NA,NA
"83","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Erimacrus isenbeckii","Hair crab","Persistently Present",NA,"Decreasing",NA
"84","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Evasterias echinosoma","Giant sea star","Persistently Present",NA,NA,NA
"85","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Gadus chalcogrammus","Walleye pollock","Persistently Present",NA,NA,"Decreasing"
"86","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Gadus macrocephalus","Pacific cod","Persistently Present",NA,NA,"Decreasing"
"87","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Glebocarcinus oregonensis","Pygmy rock crab","Persistently Present",NA,NA,NA
"88","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Glyptocephalus zachirus","Rex sole","Persistently Present",NA,"Increasing","Increasing"
"89","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Gorgonocephalus eucnemis","Basket star","Persistently Present",NA,NA,NA
"90","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Gymnocanthus galeatus","Armorhead sculpin","Persistently Present",NA,"Decreasing",NA
"91","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Gymnocanthus pistilliger","Threaded sculpin","Persistently Present",NA,"Increasing",NA
"92","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Hemilepidotus jordani","Yellow irish lord","Persistently Present",NA,NA,NA
"93","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Hemilepidotus papilio","Butterfly sculpin","Persistently Present",NA,"Decreasing","Decreasing"
"94","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Hemitripterus bolini","Bigmouth sculpin","Persistently Present",NA,"Decreasing",NA
"95","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Hexagrammos stelleri","Whitespotted greenling","Persistently Present",NA,NA,NA
"96","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Hippoglossoides elassodon and H. robustus","Flathead sole-bering flounder","Persistently Present",NA,NA,"Increasing"
"97","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Hippoglossus stenolepis","Pacific halibut","Persistently Present",NA,NA,NA
"98","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Hyas coarctatus","Arctic lyre crab","Persistently Present",NA,"Decreasing","Decreasing"
"99","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Hyas lyratus","Pacific lyre crab","Persistently Present",NA,NA,"Increasing"
"100","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Icelus spatula","Spatulate sculpin","Emerged",NA,NA,NA
"101","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Icelus spiniger","Thorny sculpin","Persistently Present",NA,"Decreasing",NA
"102","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Isopsetta isolepis","Butter sole","Persistently Present",NA,"Increasing","Increasing"
"103","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Labidochirus splendescens","Splendid hermit","Emerged",NA,"Decreasing","Increasing"
"104","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Lepidopsetta sp.","Rock soles","Persistently Present",NA,"Increasing",NA
"105","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Leptasterias (Hexasterias) polaris","Polar six-rayed star","Persistently Present",NA,NA,NA
"106","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Leptasterias arctica","Arctic star","Persistently Present",NA,"Decreasing","Decreasing"
"107","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Leptasterias groenlandica","Greenland star","Emerged",NA,NA,NA
"108","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Leptoclinus maculatus","Daubed shanny","Persistently Present",NA,"Decreasing",NA
"109","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Leptychaster anomalus","Pentagonal sand star","Potentially Emerging","Preliminary trend - under review",NA,NA
"110","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Lethasterias nanimensis","Black spined sea star","Persistently Present",NA,NA,"Decreasing"
"111","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Limanda aspera","Yellowfin sole","Persistently Present",NA,NA,"Decreasing"
"112","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Limanda sakhalinensis","Sakhalin sole","Persistently Present",NA,"Decreasing","Decreasing"
"113","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Lumpenus sagitta","Snake prickleback","Sporadic - Primarily Present",NA,NA,NA
"114","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Lycodes brevipes","Shortfin eelpout","Persistently Present",NA,"Increasing","Increasing"
"115","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Lycodes palearis","Wattled eelpout","Persistently Present",NA,"Increasing",NA
"116","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Lycodes raridens","Marbled eelpout","Sporadic - Primarily Present",NA,"Decreasing","Decreasing"
"117","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Mallotus villosus","Capelin","Persistently Present",NA,"Decreasing","Decreasing"
"118","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Megangulus luteus","Alaskan great tellin","Emerged",NA,"Increasing",NA
"119","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Myoxocephalus jaok","Plain sculpin","Persistently Present",NA,"Decreasing","Decreasing"
"120","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Myoxocephalus polyacanthocephalus","Great sculpin","Persistently Present",NA,NA,NA
"121","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Myoxocephalus scorpius","Shorthorn sculpin","Emerged",NA,"Decreasing","Decreasing"
"122","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Myzopsetta proboscidea","Longhead dab","Persistently Present",NA,"Increasing","Increasing"
"123","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Neocrangon communis","Gray shrimp","Potentially Disappearing",NA,NA,NA
"124","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Occella dodecaedron","Bering poacher","Persistently Present",NA,"Increasing",NA
"125","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Oregonia gracilis","Graceful decorator crab","Persistently Present",NA,NA,NA
"126","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pagurus aleuticus","Aleutian hermit","Emerged",NA,"Increasing","Increasing"
"127","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pagurus brandti","Sponge hermit","Sporadic - Primarily Present",NA,"Decreasing",NA
"128","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pagurus capillatus","Hairy hermit crab","Emerged",NA,"Decreasing","Increasing"
"129","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pagurus confragosus","Knobbyhand hermit","Emerged",NA,NA,"Increasing"
"130","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pagurus ochotensis","Alaskan hermit crab","Persistently Present",NA,"Increasing","Decreasing"
"131","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pagurus rathbuni","Longfinger hermit","Emerged",NA,"Decreasing",NA
"132","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pagurus trigonocheirus","Fuzzy hermit","Emerged",NA,NA,NA
"133","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Paralithodes camtschaticus","Red king crab","Persistently Present",NA,"Increasing","Decreasing"
"134","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Paralithodes platypus","Blue king crab","Persistently Present",NA,"Decreasing",NA
"135","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Patinopecten caurinus","Weathervane scallop","Persistently Present",NA,"Increasing","Increasing"
"136","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Platichthys stellatus","Starry flounder","Persistently Present",NA,NA,NA
"137","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pleuronectes quadrituberculatus","Alaska plaice","Persistently Present",NA,NA,NA
"138","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Podothecus accipenserinus","Sturgeon poacher","Persistently Present",NA,NA,NA
"139","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Reinhardtius hippoglossoides","Greenland halibut","Persistently Present",NA,"Decreasing","Decreasing"
"140","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Sarritor frenatus","Sawback poacher","Persistently Present",NA,"Decreasing",NA
"141","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Telmessus cheiragonus","Helmet crab","Persistently Present",NA,"Increasing",NA
"142","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Thaleichthys pacificus","Eulachon","Persistently Present",NA,"Decreasing","Decreasing"
"143","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Triglops pingelii","Ribbed sculpin","Persistently Present",NA,NA,NA
"144","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Albatrossia pectoralis","Giant grenadier","Persistently Present",NA,"Decreasing","Decreasing"
"145","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Anoplopoma fimbria","Sablefish","Persistently Present",NA,"Increasing",NA
"146","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Atheresthes stomias","Arrowtooth flounder","Persistently Present",NA,"Increasing",NA
"147","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Bathymaster signatus","Searcher","Persistently Present",NA,"Decreasing",NA
"148","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Bathyraja spp.","Skate complex","Persistently Present",NA,"Decreasing",NA
"149","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Beringraja binoculata","Big skate","Persistently Present",NA,NA,NA
"150","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Beringraja rhina","Longnose skate","Persistently Present",NA,NA,NA
"151","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Berryteuthis magister","Magister armhook squid","Persistently Present",NA,NA,NA
"152","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Ceramaster patagonicus","Cookie star","Persistently Present",NA,NA,NA
"153","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Cheiraster (Luidiaster) dawsoni",NA,"Persistently Present",NA,NA,NA
"154","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Chionoecetes bairdi","Tanner crab","Persistently Present",NA,NA,NA
"155","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Clupea pallasii","Pacific herring","Persistently Present",NA,"Increasing",NA
"156","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Crossaster papposus","Common sunstar","Persistently Present",NA,NA,NA
"157","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Ctenodiscus crispatus","Mud star","Persistently Present",NA,"Increasing",NA
"158","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Dasycottus setiger","Spinyhead sculpin","Persistently Present",NA,NA,NA
"159","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Dipsacaster borealis","Northern sand star","Persistently Present",NA,"Decreasing",NA
"160","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Elassochirus cavimanus","Purple hermit","Persistently Present","Preliminary trend - under review","Decreasing",NA
"161","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Elassochirus tenuimanus","Widehand hermit","Persistently Present","Preliminary trend - under review",NA,NA
"162","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Enteroctopus dofleini","North pacific giant octopus","Persistently Present",NA,"Decreasing",NA
"163","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Gadus chalcogrammus","Walleye pollock","Persistently Present",NA,NA,NA
"164","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Gadus macrocephalus","Pacific cod","Persistently Present",NA,NA,NA
"165","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Glyptocephalus zachirus","Rex sole","Persistently Present",NA,"Increasing",NA
"166","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Gorgonocephalus eucnemis","Basket star","Persistently Present",NA,"Decreasing","Decreasing"
"167","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Hemilepidotus jordani","Yellow irish lord","Persistently Present",NA,NA,NA
"168","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Hemitripterus bolini","Bigmouth sculpin","Persistently Present",NA,"Decreasing",NA
"169","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Hexagrammos decagrammus","Kelp greenling","Persistently Present",NA,NA,NA
"170","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Hippoglossoides elassodon","Flathead sole","Persistently Present",NA,"Increasing",NA
"171","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Hippoglossus stenolepis","Pacific halibut","Persistently Present",NA,NA,NA
"172","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Hyas lyratus","Pacific lyre crab","Persistently Present",NA,NA,"Decreasing"
"173","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Hydrolagus colliei","Spotted ratfish","Persistently Present",NA,NA,NA
"174","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Isopsetta isolepis","Butter sole","Persistently Present",NA,NA,NA
"175","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Lepidopsetta sp.","Rock soles","Persistently Present",NA,NA,"Decreasing"
"176","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Lethasterias nanimensis","Black spined sea star","Persistently Present",NA,NA,NA
"177","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Limanda aspera","Yellowfin sole","Persistently Present",NA,NA,NA
"178","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Lycodes brevipes","Shortfin eelpout","Persistently Present",NA,"Increasing",NA
"179","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Lycodes palearis","Wattled eelpout","Persistently Present",NA,NA,NA
