survey_name,accepted_name,common,kingdom,phylum,class,order,family,genus,rank,worms_id,SpecCode,filtercat,,,,,,,
Acantholithodes sp.,Acantholithodes,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Hapalogastridae,Acantholithodes,Genus,590103,NA,remove,,,,,,,
Acantholithodes hispidus,Acantholithodes hispidus,Spiny lithode crab,Animalia,Arthropoda,Malacostraca,Decapoda,Hapalogastridae,Acantholithodes,Species,590103,NA,Species,,,,,,,
Acantholumpenus mackayi,Acantholumpenus mackayi,Pighead prickleback,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Acantholumpenus,Species,249703,3771,Species,,,,,,,
Acanthoptilum gracile,Acanthoptilum gracile,White sea pen,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Virgulariidae,Acanthoptilum,Species,289324,NA,Species,,,,,,,
Acanthostracion,Acanthostracion,NA,Animalia,Chordata,Teleostei,Tetraodontiformes,Ostraciidae,Acanthostracion,Genus,126237,NA,remove,,,,,,,
Lactophrys polygonia,Acanthostracion polygonium,Honeycomb cowfish,Animalia,Chordata,Teleostei,Tetraodontiformes,Ostraciidae,Lactophrys,Species,1577312,4287,Species,,,,,,,
Acanthostracion polygonius,Acanthostracion polygonium,Honeycomb cowfish,Animalia,Chordata,Teleostei,Tetraodontiformes,Ostraciidae,Lactophrys,Species,1577312,4287,Species,,,,,,,
Acanthostracion quadricornis,Acanthostracion quadricornis,Scrawled cowfish,Animalia,Chordata,Teleostei,Tetraodontiformes,Ostraciidae,Acanthostracion,Species,158920,92,Species,,,,,,,
Lactophrys quadricornis,Acanthostracion quadricornis,Scrawled cowfish,Animalia,Chordata,Teleostei,Tetraodontiformes,Ostraciidae,Acanthostracion,Species,158920,92,Species,,,,,,,
Acanthurus bahianus,Acanthurus bahianus,Barber surgeonfish,Animalia,Chordata,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Species,159578,68792,Species,,,,,,,
Acanthurus chirurgus,Acanthurus chirurgus,Doctorfish,Animalia,Chordata,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Species,159580,943,Species,,,,,,,
Acanthurus coeruleus,Acanthurus coeruleus,Blue tang surgeonfish,Animalia,Chordata,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Species,159581,944,Species,,,,,,,
Arca imbricata,Acar clathrata,Mossy ark,Animalia,Mollusca,Bivalvia,Arcida,Arcidae,Arca,Species,236692,NA,Species,,,,,,,
Acesta sphoni,Acesta sphoni,NA,Animalia,Mollusca,Bivalvia,Limida,Limidae,Acesta,Species,505422,NA,Species,,,,,,,
Acharax johnsoni,Acharax johnsoni,NA,Animalia,Mollusca,Bivalvia,Solemyida,Solemyidae,Acharax,Species,293239,NA,Species,,,,,,,
Achelous,Achelous,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Achelous,Genus,206816,NA,remove,,,,,,,
Portunus depressifrons,Achelous depressifrons,Flatface swimming crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Achelous,Species,557881,NA,Species,,,,,,,
Achelous depressifrons,Achelous depressifrons,Flatface swimming crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Achelous,Species,557881,NA,Species,,,,,,,
Portunus floridanus,Achelous floridanus,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Achelous,Species,557882,NA,Species,,,,,,,
Achelous floridanus,Achelous floridanus,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Achelous,Species,557882,NA,Species,,,,,,,
Portunus gibbesii,Achelous gibbesii,Iridescent swimming crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus,Species,557883,NA,Species,,,,,,,
Achelous gibbesii,Achelous gibbesii,Iridescent swimming crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus,Species,557883,NA,Species,,,,,,,
Achelous ordwayi,Achelous ordwayi,Silvery-clawed swimming crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Achelous,Species,451838,NA,Species,,,,,,,
Portunus spinicarpus,Achelous spinicarpus,Longspine swimming crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Achelous,Species,557889,NA,Species,,,,,,,
Achelous spinicarpus,Achelous spinicarpus,Longspine swimming crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Achelous,Species,557889,NA,Species,,,,,,,
Portunus spinimanus,Achelous spinimanus,Blotched swimming crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus,Species,456069,NA,Species,,,,,,,
Achelous spinimanus,Achelous spinimanus,Blotched swimming crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus,Species,456069,NA,Species,,,,,,,
Portunus ventralis,Achelous ventralis,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus,Species,1587865,NA,Species,,,,,,,
Achirus lineatus,Achirus lineatus,Lined sole,Animalia,Chordata,Teleostei,Pleuronectiformes,Achiridae,Achirus,Species,279493,4256,Species,,,,,,,
Acila castrensis,Acila castrensis,Divaricate nutclam,NA,NA,NA,NA,NA,NA,Species,506568,NA,Species,,,,,,,
Acipenser medirostris,Acipenser medirostris,Green sturgeon,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Species,271695,2592,Species,,,,,,,
Acipenser oxyrhynchus,Acipenser oxyrinchus,Atlantic sturgeon,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Species,151802,2593,Species,,,,,,,
Acipenser oxyrinchus,Acipenser oxyrinchus,Atlantic sturgeon,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Species,151802,2593,Species,,,,,,,
Acmaea,Acmaea,NA,Animalia,Mollusca,Gastropoda,NA,Acmaeidae,Acmaea,Genus,137616,NA,remove,,,,,,,
Acoela,Acoela,Acoel turbellarian,NA,NA,NA,NA,NA,NA,Order,2847,NA,remove,,,,,,,
Acoelida,Acoelida,NA,NA,NA,NA,NA,NA,NA,HigherOrder,NA,NA,remove,,,,,,,
Actaea,Actaea,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,Actaea,Genus,204271,NA,remove,,,,,,,
Acteocina,Acteocina,NA,Animalia,Mollusca,Gastropoda,Cephalaspidea,Tornatinidae,Acteocina,Genus,137866,NA,remove,,,,,,,
Acteocina sp.,Acteocina,NA,Animalia,Mollusca,Gastropoda,Cephalaspidea,Tornatinidae,Acteocina,Genus,137867,NA,remove,,,,,,,
Actinauge verrilli,Actinauge verrillii,Reticulate anemone,Animalia,Cnidaria,Anthozoa,Actiniaria,Hormathiidae,Actinauge,Species,592915,NA,Species,,,,,,,
Actinauge verrillii,Actinauge verrillii,Reticulate anemone,Animalia,Cnidaria,Anthozoa,Actiniaria,Hormathiidae,Actinauge,Species,592916,NA,Species,,,,,,,
Actinernus,Actinernus,NA,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinernidae,Actinernus,Genus,100691,NA,remove,,,,,,,
Actinernus sp.,Actinernus,NA,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinernidae,Actinernus,Genus,100692,NA,remove,,,,,,,
Actinia,Actinia,NA,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia,Genus,100694,NA,remove,,,,,,,
Actiniaria,Actiniaria,Sea anemones,Animalia,Cnidaria,Anthozoa,Actiniaria,NA,NA,Order,1360,NA,remove,,,,,,,
Actiniidae,Actiniidae,Actinid sea anemones unid.,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,NA,Family,100653,NA,remove,,,,,,,
Actinoscyphia,Actinoscyphia,NA,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinoscyphiidae,Actinoscyphia,Genus,100707,NA,remove,,,,,,,
Actinoscyphia sp.,Actinoscyphia,NA,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinoscyphiidae,Actinoscyphia,Genus,100708,NA,remove,,,,,,,
Actinostola,Actinostola,NA,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,Actinostola,Genus,100709,NA,remove,,,,,,,
Actinostola sp.,Actinostola,NA,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,Actinostola,Genus,100710,NA,remove,,,,,,,
Actinostola faeculenta,Actinostola faeculenta,Hobnail vase anemone,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,Actinostola,Species,854440,NA,Species,,,,,,,
Paractinostola faeculenta,Actinostola faeculenta,Hobnail vase anemone,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,Actinostola,Species,854440,NA,Species,,,,,,,
Actinostola groenlandica,Actinostola groenlandica,NA,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,Actinostola,Species,283451,NA,Species,,,,,,,
Actinostola sp. A (Clark 2006),Actinostola sp. A (Clark 2006),NA,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,Actinostola,Species,NA,NA,Species,,,,,,,
Actinostola sp. B (Clark 2006),Actinostola sp. B (Clark 2006),NA,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,Actinostola,Species,NA,NA,Species,,,,,,,
Actinostolidae,Actinostolidae,NA,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,NA,Family,100655,NA,remove,,,,,,,
Adelogorgia phyllosclera,Adelogorgia phyllosclera,NA,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Gorgoniidae,Adelogorgia,Species,289357,NA,Species,,,,,,,
Adelosebastes latens,Adelosebastes latens,Aleutian scorpionfish,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Adelosebastes,Species,279508,23885,Species,,,,,,,
Admete laevior,Admete laevior,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Admete,Genus,137723,NA,remove,,,,,,,
Admete solida,Admete solida,Noble Admete,Animalia,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Admete,Species,576338,NA,Species,,,,,,,
Aega,Aega,NA,Animalia,Arthropoda,Malacostraca,Isopoda,Aegidae,Aega,Genus,118394,NA,remove,,,,,,,
Aegapheles antillensis,Aegapheles antillensis,NA,Animalia,Arthropoda,Malacostraca,Isopoda,Aegidae,Aegapheles,Species,256389,NA,Species,,,,,,,
Aequipecten,Aequipecten,NA,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Aequipecten,Genus,138313,NA,remove,,,,,,,
Aequipecten glyptus,Aequipecten glyptus,Red ribbed scallop,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Aequipecten,Species,156732,NA,Species,,,,,,,
Aequorea,Aequorea,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,Genus,116998,NA,remove,,,,,,,
Aequorea sp.,Aequorea,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,Genus,116999,NA,remove,,,,,,,
Aequorea aequorea,Aequorea forskalea,Many ribbed jellyfish,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,Species,117270,NA,Species,,,,,,,
Aequorea forskalea,Aequorea forskalea,Many ribbed jellyfish,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,Species,117270,NA,Species,,,,,,,
Aequorea macrodactyla,Aequorea macrodactyla,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,Species,117271,NA,Species,,,,,,,
Aequoreidae,Aequoreidae,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,NA,Family,13553,NA,remove,,,,,,,
Aetobatis narinari,Aetobatus narinari,Spotted eagle ray,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,Species,217426,1250,Species,,,,,,,
Aetobatus narinari,Aetobatus narinari,Spotted eagle ray,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,Species,217426,1250,Species,,,,,,,
Aforia,Aforia,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Cochlespiridae,Aforia,Genus,196995,NA,remove,,,,,,,
Aforia sp.,Aforia,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Cochlespiridae,Aforia,Genus,196996,NA,remove,,,,,,,
Aforia circinata,Aforia circinata,Keeled aforia,Animalia,Mollusca,Gastropoda,Neogastropoda,Cochlespiridae,Aforia,Species,432904,NA,Species,,,,,,,
Aforia goodei,Aforia goodei,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Cochlespiridae,Aforia,Species,432906,NA,Species,,,,,,,
Aglaophenia,Aglaophenia,Feather hydroids,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Genus,116999,NA,remove,,,,,,,
Aglaophenia sp.,Aglaophenia,Feather hydroids,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Genus,117000,NA,remove,,,,,,,
Agolambrus agonus,Agolambrus agonus,NA,Animalia,Arthropoda,Malacostraca,Decapoda,Parthenopidae,Agolambrus,Species,442238,NA,Species,,,,,,,
Agonidae,Agonidae,Alligatorfishes,Animalia,Chordata,Teleostei,Perciformes,Agonidae,NA,Family,125588,NA,remove,,,,,,,
Agonopsis sterletus,Agonopsis sterletus,Southern spearnose poacher,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Agonopsis,Species,279521,4151,Species,,,,,,,
Agonopsis vulsa,Agonopsis vulsa,Northern spearnose poacher,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Agonopsis,Species,279522,4152,Species,,,,,,,
Pitar morrhuanus,Agriopoma morrhuanum,False quahog,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Pitar,Species,594424,NA,Species,,,,,,,
Agriopoma morrhuanum,Agriopoma morrhuanum,False quahog,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Pitar,Species,594424,NA,Species,,,,,,,
Agriopoma texasiana,Agriopoma texasianum,NA,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Agriopoma,Species,582802,NA,Species,,,,,,,
Agriopoma texasianum,Agriopoma texasianum,NA,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Agriopoma,Species,582802,NA,Species,,,,,,,
Akoya platinum,Akoya platinum,Silvery topsnail,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Akoya,Species,1324693,NA,Species,,,,,,,
Calliostoma platinum,Akoya platinum,Silvery topsnail,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Akoya,Species,1324693,NA,Species,,,,,,,
Calliostoma titanium,Akoya platinum,Silvery topsnail,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Akoya,Species,1324693,NA,Species,,,,,,,
Alaskagorgia,Alaskagorgia,NA,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Malacalcyonacea incertae sedis,Alaskagorgia,Genus,267210,NA,remove,,,,,,,
Alaskagorgia sp.,Alaskagorgia,NA,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Malacalcyonacea incertae sedis,Alaskagorgia,Genus,267211,NA,remove,,,,,,,
Alaskagorgia aleutiana,Alaskagorgia aleutiana,NA,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Malacalcyonacea incertae sedis,Alaskagorgia,Species,289377,NA,Species,,,,,,,
Albatrossia pectoralis,Albatrossia pectoralis,Giant grenadier,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Albatrossia,Species,236135,8435,Species,,,,,,,
Albula vulpes,Albula vulpes,Bonefish,Animalia,Chordata,Teleostei,Albuliformes,Albulidae,Albula,Species,212256,228,Species,,,,,,,
Albunea gibbesii,Albunea gibbesii,Surf mole crab,Animalia,Arthropoda,Malacostraca,Decapoda,Albuneidae,Albunea,Species,421880,NA,Species,,,,,,,
Albunea paretii,Albunea paretii,Beach mole crab,Animalia,Arthropoda,Malacostraca,Decapoda,Albuneidae,Albunea,Species,107192,NA,Species,,,,,,,
Alcyonacea,Alcyonacea,Soft corals,NA,NA,NA,NA,NA,NA,HigherOrder,NA,NA,remove,,,,,,,
Alcyonidiidae,Alcyonidiidae,NA,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,NA,Family,110783,NA,remove,,,,,,,
Alcyonidium,Alcyonidium,NA,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,Genus,110993,NA,remove,,,,,,,
Alcyonidium sp.,Alcyonidium,NA,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,Genus,110993,NA,remove,,,,,,,
Alcyonidium disciforme,Alcyonidium disciforme,Disc bryozoan,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,Species,111598,NA,Species,,,,,,,
Alcyonidium enteromorpha,Alcyonidium enteromorpha,Noodle bryozoan,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,Species,470633,NA,Species,,,,,,,
Alcyonidium pedunculatum,Alcyonidium pedunculatum,Smooth leather bryozoan,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,Species,470641,NA,Species,,,,,,,
Alcyonidium sp. A,Alcyonidium sp. A,medusa bryozoan,NA,NA,NA,NA,NA,NA,Species,NA,NA,Species,,,,,,,
Alcyonium,Alcyonium,NA,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Alcyoniidae,Alcyonium,Genus,125284,NA,remove,,,,,,,
Alcyonium sp.,Alcyonium,NA,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Alcyoniidae,Alcyonium,Genus,125284,NA,remove,,,,,,,
Alcyonium sp. A (Clark 2006),Alcyonium sp. A (Clark 2006),pink orange mushroom coral,NA,NA,NA,NA,NA,NA,Species,NA,NA,Species,,,,,,,
Alcyonium sp. B (Clark 2006),Alcyonium sp. B (Clark 2006),NA,NA,NA,NA,NA,NA,NA,Species,NA,NA,Species,,,,,,,
Alectis ciliaris,Alectis ciliaris,African pompano,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Alectis,Species,159629,988,Species,,,,,,,
Alepisauridae,Alepisauridae,NA,Animalia,Chordata,Teleostei,Aulopiformes,Alepisauridae,NA,Family,125439,NA,remove,,,,,,,
Alepisaurus ferox,Alepisaurus ferox,Long snouted lancetfish,Animalia,Chordata,Teleostei,Aulopiformes,Alepisauridae,Alepisaurus,Species,126333,99,Species,,,,,,,
Alepocephalidae,Alepocephalidae,Slickheads,Animalia,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,NA,Family,125507,NA,remove,,,,,,,
Alepocephaliidae,Alepocephalidae,Slickheads,Animalia,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,NA,Family,125507,NA,remove,,,,,,,
Alepocephalus,Alepocephalus,NA,Animalia,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Alepocephalus,Genus,125868,NA,remove,,,,,,,
Alepocephalus tenebrosus,Alepocephalus tenebrosus,California slickhead,Animalia,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Alepocephalus,Species,272849,11590,Species,,,,,,,
Aleutiaster,Aleutiaster,NA,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Aleutiaster,Genus,291628,NA,remove,,,,,,,
Aleutiaster sp.,Aleutiaster,Ahearns star,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Aleutiaster,Genus,291628,NA,remove,,,,,,,
Aleutibuccinum clarki,Aleutibuccinum clarki,Roger buccinid,NA,NA,NA,NA,NA,NA,Species,1699280,NA,Species,,,,,,,
Aleutihenricia beringiana,Aleutihenricia beringiana,Bering henricia,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Aleutihenricia,Species,597761,NA,Species,,,,,,,
Aleutihenricia federi,Aleutihenricia federi,NA,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Aleutihenricia,Species,509316,NA,Species,,,,,,,
Beringius aleuticus,Aleutijapelion aleuticus,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Beringius,Species,1699080,NA,Species,,,,,,,
Aleutijapelion aleuticus,Aleutijapelion aleuticus,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Beringius,Species,1699080,NA,Species,,,,,,,
Strombus gallus,Aliger gallus,Roostertail conch,Animalia,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Strombus,Species,419692,NA,Species,,,,,,,
Aliger gallus,Aliger gallus,Roostertail conch,Animalia,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Strombus,Species,419692,NA,Species,,,,,,,
Strombus gigas,Aliger gigas,Pink conch,Animalia,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Strombus,Species,1429769,NA,Species,,,,,,,
Aliger gigas,Aliger gigas,Pink conch,Animalia,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Strombus,Species,1429769,NA,Species,,,,,,,
Allocareproctus,Allocareproctus,NA,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Allocareproctus,Genus,268260,NA,remove,,,,,,,
Allocareproctus sp.,Allocareproctus,NA,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Allocareproctus,Genus,268260,NA,remove,,,,,,,
Allocareproctus jordani,Allocareproctus jordani,Cherry snailfish,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Allocareproctus,Species,279555,24122,Species,,,,,,,
Allocareproctus kallaion,Allocareproctus kallaion,Combed snailfish,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Allocareproctus,Species,279556,62924,Species,,,,,,,
Allocareproctus tanix,Allocareproctus tanix,Peach snailfish,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Allocareproctus,Species,279557,62923,Species,,,,,,,
Allocareproctus unangas,Allocareproctus unangas,Goldeneye snailfish,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Allocareproctus,Species,279558,62925,Species,,,,,,,
Allocareproctus ungak,Allocareproctus ungak,Whiskered snailfish,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Allocareproctus,Species,279559,62926,Species,,,,,,,
Allocyttus folletti,Allocyttus folletti,Oxeye oreo,Animalia,Chordata,Teleostei,Zeiformes,Oreosomatidae,Allocyttus,Species,254555,11685,Species,,,,,,,
Allosmerus elongatus,Allosmerus elongatus,Whitebait smelt,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Allosmerus,Species,279564,2694,Species,,,,,,,
Allothyone mexicana,Allothyone mexicana,NA,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Phyllophoridae,Allothyone,Species,422529,NA,Species,,,,,,,
Alopias superciliosus,Alopias superciliosus,Bigeye thresher,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Species,105835,2534,Species,,,,,,,
Alopias vulpinus,Alopias vulpinus,Thresher,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Species,105836,2535,Species,,,,,,,
Alosa,Alosa,NA,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,Genus,125715,NA,remove,,,,,,,
Alosa aestivalis,Alosa aestivalis,Blueback herring,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,Species,158667,1574,Species,,,,,,,
