spp,common,Taxonomic.Grouping,FilterRegion,FilterSubRegion,Management Body,Management Plan
Callinectes sapidus,Blue crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan 
Callinectes sapidus,Blue crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast,,
Callinectes similis,Lesser blue crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Callinectes similis,Lesser blue crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast,,
Callogorgia compressa,,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Aleutian Islands,,
Cancer borealis,Jonah crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast,ASMFC,Interstate Fishery Management Plan 
Cancer irroratus,Atlantic rock crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast,,
Caranx crysos,Blue runner,Carangiformes (Jacks),US East Coast,Southeast,,
Careproctus melanurus,Blacktail snailfish,Perciformes/Cottoidei (sculpins),US West Coast,West Coast,,
Centropristis ocyurus,Bank sea bass,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,
Centropristis philadelphica,Rock sea bass,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,
Centropristis philadelphica,Rock sea bass,Perciformes/Serranoidei (Groupers),US East Coast,Southeast,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region
Centropristis striata,Black sea bass,Perciformes/Serranoidei (Groupers),US East Coast,Northeast,ASMFC,"Summer Flounder, Scup and Black Sea Bass"
Centropristis striata,Black sea bass,Perciformes/Serranoidei (Groupers),US East Coast,Northeast,MAFMC,"Summer Flounder, Scup and Black Sea Bass"
Centropristis striata,Black sea bass,Perciformes/Serranoidei (Groupers),US East Coast,Southeast,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region
Chaceon quinquedens,Red deepsea crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast,NEFMC,Deep-sea red crab
Chaetodipterus faber,Atlantic spadefish,Acanthuriformes (Surgeonfishes),US East Coast,Southeast,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region
Chaetodon ocellatus,Spotfin butterflyfish,Acanthuriformes (Surgeonfishes),Gulf of Mexico,Gulf of Mexico,,
Chauliodus macouni,Pacific viperfish,Stomiiformes (Lightfishes and dragonfishes),US West Coast,West Coast,,
Cheiraster (Luidiaster) dawsoni,,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,
Chilomycterus schoepfii,Striped burrfish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,
Chilomycterus schoepfii,Striped burrfish,Tetraodontiformes (puffers and filefishes),US East Coast,Southeast,,
Chionoecetes bairdi,Tanner crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs
Chionoecetes bairdi,Tanner crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs
Chionoecetes bairdi,Tanner crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Gulf of Alaska,,
Chionoecetes opilio,Snow crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs
Chionoecetes opilio,Snow crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Chionoecetes tanneri,Grooved tanner crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,,
Chloroscombrus chrysurus,Atlantic bumper,Carangiformes (Jacks),Gulf of Mexico,Gulf of Mexico,,
Chloroscombrus chrysurus,Atlantic bumper,Carangiformes (Jacks),US East Coast,Southeast,,
Chorilia longipes,Longhorn decorator crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,,
Chrysaora melanaster,,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Northern Bering Sea,,
Citharichthys arctifrons,Gulf stream flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Northeast,,
Citharichthys macrops,Spotted whiff,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,
Citharichthys macrops,Spotted whiff,Pleuronectiformes (Flatfishes) ,US East Coast,Southeast,,
Citharichthys sordidus,Pacific sanddab,Pleuronectiformes (Flatfishes) ,US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Citharichthys spilopterus,Bay whiff,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,
Citharichthys spilopterus,Bay whiff,Pleuronectiformes (Flatfishes) ,US East Coast,Southeast,,
Clinopegma magnum,Helmet whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,
Clupea harengus,Atlantic herring,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast,ASMFC,Interstate Fishery Management Plan 
Clupea harengus,Atlantic herring,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast,NEFMC,Atlantic Herring
Clupea pallasii,Pacific herring,"Clupeiformes (Herrings, anchovy, shad)",Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Clupea pallasii,Pacific herring,"Clupeiformes (Herrings, anchovy, shad)",Alaska,Northern Bering Sea,,
Clupea pallasii,Pacific herring,"Clupeiformes (Herrings, anchovy, shad)",Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Clupea pallasii,Pacific herring,"Clupeiformes (Herrings, anchovy, shad)",US West Coast,West Coast,,
Coryphaenoides acrolepis,Pacific grenadier,"Gadiformes (Cods, genadiers, pollock) ",US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Crossaster borealis,Grooved sun star,Asteroidea (starfishes) ,US West Coast,West Coast,,
Crossaster papposus,Common sunstar,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,
Crossaster papposus,Common sunstar,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,
Crossaster papposus,Common sunstar,Asteroidea (starfishes) ,Alaska,Northern Bering Sea,,
Crossaster papposus,Common sunstar,Asteroidea (starfishes) ,Alaska,Gulf of Alaska,,
Ctenodiscus crispatus,Mud star,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,
Ctenodiscus crispatus,Mud star,Asteroidea (starfishes) ,Alaska,Gulf of Alaska,,
Cucumaria fallax,,Holothuroidea (sea cucumbers),Alaska,Aleutian Islands,,
Cyanea capillata,Lion's mane,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Gulf of Alaska,,
Cyclopsetta chittendeni,Mexican flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,
Cyclopsetta fimbriata,Spotfin flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,
Cynoscion arenarius,Sand weakfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan 
Cynoscion nothus,Silver seatrout,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan 
Cynoscion nothus,Silver seatrout,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,,
Cynoscion regalis,Weakfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,ASMFC,Interstate Fishery Management Plan 
Cynoscion regalis,Weakfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region
Dasycottus setiger,Spinyhead sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Dasycottus setiger,Spinyhead sculpin,Perciformes/Cottoidei (sculpins),Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Decapterus punctatus,Round scad,Carangiformes (Jacks),Gulf of Mexico,Gulf of Mexico,,
Diplectrum bivittatum,Dwarf sand perch,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,
Diplectrum formosum,Sand perch,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,
Diplopteraster multipes,Pincushion star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,
Dipturus laevis,Barndoor skate,"Elasmobranchi:Batoidea (skates, rays) ",US East Coast,Northeast,NEFMC,Northeast Skate Complex
Doryteuthis opalescens,California market squid,"Cephalopoda (squid, octopus)",US West Coast,West Coast,PFMC,Coastal Pelagic Species
Doryteuthis pealeii,Longfin inshore squid,"Cephalopoda (squid, octopus)",US East Coast,Northeast,MAFMC,"Mackerel, Squid and Butterfish"
Doryteuthis sp,Inshore Squid sp.,"Cephalopoda (squid, octopus)",Gulf of Mexico,Gulf of Mexico,GMFMC,
Doryteuthis sp,Inshore Squid sp.,"Cephalopoda (squid, octopus)",US East Coast,Southeast,SAFMC,
Echidnocerus foraminatus,Brown box crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,,
Elassochirus cavimanus,Purple hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,
Elassochirus tenuimanus,Widehand hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Gulf of Alaska,,
Eleginus gracilis,Saffron cod,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Northern Bering Sea,,
Enophrys diceraus,Antlered sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,
Enteroctopus dofleini,North pacific giant octopus,"Cephalopoda (squid, octopus)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Eopsetta jordani,Petrale sole,Pleuronectiformes (Flatfishes) ,US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Epinephelus morio,Red grouper,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico
Eques lanceolatus,Jackknife-fish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,
Erimacrus isenbeckii,Hair crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,
Erimacrus isenbeckii,Hair crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Etelis carbunculus,Ehu,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Hawaii,Hawaii,WPFMC,Hawaii Archipelago Ecosystem
Etelis coruscans,Onaga,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Hawaii,Hawaii,WPFMC,Hawaii Archipelago Ecosystem
Etropus crossotus,Fringed flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,
Etropus crossotus,Fringed flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Southeast,,
Etropus cyclosquamus,Shelf flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Southeast,,
Eucidaris tribuloides,Slate pencil urchin,"Echinoidea (sea urchins, sand dollars) ",Gulf of Mexico,Gulf of Mexico,,
Eucinostomus gula,Silver jenny,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,
Eucinostomus spp.,Mojarras,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,,
Eumicrotremus orbis,Pacific spiny lumpsucker,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,,
Eunoe depressa,Depressed scale worm,Polychaeta (brittle worms) ,Alaska,Northern Bering Sea,,
Eunoe nodosa,Giant scale worm,Polychaeta (brittle worms) ,Alaska,Eastern Bering Sea,,
Eunoe nodosa,Giant scale worm,Polychaeta (brittle worms) ,Alaska,Northern Bering Sea,,
Euvola marensis,Paper scallop,"Bivalvia (clams, muscles, oyster, arks, etc)",Gulf of Mexico,Gulf of Mexico,,
Evasterias echinosoma,,Asteroidea (starfishes) ,Alaska,Northern Bering Sea,,
Fowlerichthys radiosus,Singlespot frogfish,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,,
Fusitriton oregonensis,Oregon triton,Gastropoda (sea snails and slugs),Alaska,Aleutian Islands,,
Fusitriton oregonensis,Oregon triton,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,
Fusitriton oregonensis,Oregon triton,Gastropoda (sea snails and slugs),Alaska,Gulf of Alaska,,
Gadus chalcogrammus,Walleye pollock,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Gadus chalcogrammus,Walleye pollock,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Gadus chalcogrammus,Walleye pollock,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Northern Bering Sea,,
Gadus chalcogrammus,Walleye pollock,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Gadus chalcogrammus,Walleye pollock,"Gadiformes (Cods, genadiers, pollock) ",US West Coast,West Coast,,
Gadus macrocephalus,Pacific cod,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Gadus macrocephalus,Pacific cod,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Gadus macrocephalus,Pacific cod,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Northern Bering Sea,,
Gadus macrocephalus,Pacific cod,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Gadus macrocephalus,Pacific cod,"Gadiformes (Cods, genadiers, pollock) ",US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Gadus morhua,Atlantic cod,"Gadiformes (Cods, genadiers, pollock) ",US East Coast,Northeast,NEFMC,Northeast Multispecies
Genyonemus lineatus,White croaker,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US West Coast,West Coast,,
Gibbesia neglecta,Lesser mantis shrimp,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast,,
Glyptocephalus cynoglossus,Witch flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Northeast,NEFMC,Northeast Multispecies
Glyptocephalus zachirus,Rex sole,Pleuronectiformes (Flatfishes) ,Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Glyptocephalus zachirus,Rex sole,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Glyptocephalus zachirus,Rex sole,Pleuronectiformes (Flatfishes) ,Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Glyptocephalus zachirus,Rex sole,Pleuronectiformes (Flatfishes) ,US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Gorgonocephalus eucnemis,Basket star,Ophiuroidea (brittle stars),Alaska,Aleutian Islands,,
Gorgonocephalus eucnemis,Basket star,Ophiuroidea (brittle stars),Alaska,Eastern Bering Sea,,
Gorgonocephalus eucnemis,Basket star,Ophiuroidea (brittle stars),Alaska,Northern Bering Sea,,
Gorgonocephalus eucnemis,Basket star,Ophiuroidea (brittle stars),Alaska,Gulf of Alaska,,
Gorgonocephalus eucnemis,Basket star,Ophiuroidea (brittle stars),US West Coast,West Coast,,
Gymnocanthus galeatus,Armorhead sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Gymnocanthus pistilliger,Threaded sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,
Gymnothorax saxicola,Honeycomb moray,Anguilliformes (Eels and morays),Gulf of Mexico,Gulf of Mexico,,
Gymnura micrura,Smooth butterfly ray,"Elasmobranchi:Batoidea (skates, rays) ",US East Coast,Southeast,,
Haemulon aurolineatum,Tomtate grunt,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,
Haemulon plumierii,White grunt,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,
Halieutichthys sp,Batfished,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,,
Halocynthia aurantium,Sea peach,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Aleutian Islands,,
Harengula jaguana,Scaled sardine,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,,
Harengula jaguana,Scaled sardine,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Southeast,,
Hemilepidotus jordani,Yellow irish lord,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Hemilepidotus jordani,Yellow irish lord,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Hemilepidotus jordani,Yellow irish lord,Perciformes/Cottoidei (sculpins),Alaska,Gulf of Alaska,,
