"","region","name","common"
"82","Eastern Bering Sea","Lepidopsetta sp.","Rock soles"
"83","Eastern Bering Sea","Sarritor frenatus","Sawback poacher"
"84","Eastern Bering Sea","Leptoclinus maculatus","Daubed shanny"
"85","Eastern Bering Sea","Limanda aspera","Yellowfin sole"
"86","Eastern Bering Sea","Limanda proboscidea","Longhead dab"
"87","Eastern Bering Sea","Lycodes brevipes","Shortfin eelpout"
"88","Eastern Bering Sea","Lycodes palearis","Wattled eelpout"
"89","Eastern Bering Sea","Lycodes raridens","Sparse-toothed lycod"
"90","Eastern Bering Sea","Mallotus villosus","Capelin"
"91","Eastern Bering Sea","Myoxocephalus jaok","Plain sculpin"
"92","Eastern Bering Sea","Myoxocephalus polyacanthocephalus","Great sculpin"
"93","Eastern Bering Sea","Neptunea borealis","True whelk"
"94","Eastern Bering Sea","Neptunea heros","True whelk"
"95","Eastern Bering Sea","Neptunea lyrata","Lyre whelk"
"96","Eastern Bering Sea","Neptunea pribiloffensis","Pribilof whelk"
"97","Eastern Bering Sea","Neptunea ventricosa","Fat whelk"
"98","Eastern Bering Sea","Occella dodecaedron","Bering poacher"
"99","Eastern Bering Sea","Oregonia gracilis","Graceful decorator crab"
"100","Eastern Bering Sea","Pandalus eous","Alaskan pink shrimp"
"101","Eastern Bering Sea","Pandalus goniurus","Humpy shrimp"
"102","Eastern Bering Sea","Paralithodes camtschaticus","Red king crab"
"103","Eastern Bering Sea","Paralithodes platypus","Blue king crab"
"104","Eastern Bering Sea","Patinopecten caurinus","Weathervane scallop"
"105","Eastern Bering Sea","Platichthys stellatus","Starry flounder"
"106","Eastern Bering Sea","Pleuronectes quadrituberculatus","Alaska plaice"
"107","Eastern Bering Sea","Plicifusus kroeyeri","True whelk"
"108","Eastern Bering Sea","Podothecus accipenserinus","Sturgeon poacher"
"109","Eastern Bering Sea","Pyrulofusus deformis","Warped whelk"
"110","Eastern Bering Sea","Reinhardtius hippoglossoides","Greenland halibut"
"111","Eastern Bering Sea","Sebastes alutus","Pacific ocean perch"
"112","Eastern Bering Sea","Serripes groenlandicus","Greenland cockle"
"113","Eastern Bering Sea","Strongylocentrotus droebachiensis","Green sea urchin"
"114","Eastern Bering Sea","Telmessus cheiragonus","Helmet crab"
"115","Eastern Bering Sea","Thaleichthys pacificus","Eulachon"
"116","Gulf of Alaska","Acantholithodes hispidus","Spiny lithode crab"
"117","Gulf of Alaska","Anoplopoma fimbria","Sablefish"
"118","Gulf of Alaska","Aptocyclus ventricosus","Smooth lumpsucker"
"119","Gulf of Alaska","Atheresthes stomias","Arrowtooth flounder"
"120","Gulf of Alaska","Bathyagonus nigripinnis","Blackfin poacher"
"121","Gulf of Alaska","Bathymaster signatus","Searcher"
"122","Gulf of Alaska","Bathyraja spp.","Skate complex"
"123","Gulf of Alaska","Beringraja binoculata","Big skate"
"124","Gulf of Alaska","Berryteuthis magister","Magister armhook squid"
"125","Gulf of Alaska","Chauliodus macouni","Pacific viperfish"
"126","Gulf of Alaska","Chionoecetes bairdi","Tanner crab"
"127","Gulf of Alaska","Clupea pallasii","Pacific herring"
"128","Gulf of Alaska","Albatrossia pectoralis","Giant grenadier"
"129","Gulf of Alaska","Cryptacanthodes giganteus","Giant wrymouth"
"130","Gulf of Alaska","Ctenodiscus crispatus","Mud star"
"131","Gulf of Alaska","Dasycottus setiger","Spinyhead sculpin"
"132","Gulf of Alaska","Eopsetta jordani","Petrale sole"
"133","Gulf of Alaska","Eumicrotremus orbis","Pacific spiny lumpsucker"
"134","Gulf of Alaska","Fusitriton oregonensis","Oregon triton"
"135","Gulf of Alaska","Gadus chalcogrammus","Walleye pollock"
"136","Gulf of Alaska","Gadus macrocephalus","Pacific cod"
"137","Gulf of Alaska","Glyptocephalus zachirus","Rex sole"
"138","Gulf of Alaska","Gorgonocephalus eucnemis","Basket star"
"139","Gulf of Alaska","Gymnocanthus galeatus","Armorhead sculpin"
"140","Gulf of Alaska","Hemilepidotus hemilepidotus","Red irish lord"
"141","Gulf of Alaska","Hemilepidotus jordani","Yellow irish lord"
"142","Gulf of Alaska","Hemitripterus bolini","Bigmouth sculpin"
"143","Gulf of Alaska","Hexagrammos decagrammus","Kelp greenling"
"144","Gulf of Alaska","Hexagrammos stelleri","Whitespotted greenling"
"145","Gulf of Alaska","Hippoglossoides elassodon","Flathead sole"
"146","Gulf of Alaska","Hippoglossus stenolepis","Pacific halibut"
"147","Gulf of Alaska","Hyas lyratus","Pacific lyre crab"
"148","Gulf of Alaska","Hydrolagus colliei","Spotted ratfish"
"149","Gulf of Alaska","Isopsetta isolepis","Butter sole"
"150","Gulf of Alaska","Lepidopsetta sp.","Rock soles"
"151","Gulf of Alaska","Sarritor frenatus","Sawback poacher"
"152","Gulf of Alaska","Leuroglossus schmidti","Northern smoothtongue"
"153","Gulf of Alaska","Limanda aspera","Yellowfin sole"
"154","Gulf of Alaska","Lithodes aequispinus","Golden king crab"
"155","Gulf of Alaska","Lopholithodes foraminatus","Brown box crab"
"156","Gulf of Alaska","Lumpenella longirostris","Longsnout prickleback"
"157","Gulf of Alaska","Lumpenus sagitta","Snake prickleback"
"158","Gulf of Alaska","Lycodes beringi","Bering eelpout"
"159","Gulf of Alaska","Lycodes brevipes","Shortfin eelpout"
"160","Gulf of Alaska","Lycodes palearis","Wattled eelpout"
"161","Gulf of Alaska","Lyopsetta exilis","Slender sole"
"162","Gulf of Alaska","Malacocottus zonurus","Darkfin sculpin"
"163","Gulf of Alaska","Mallotus villosus","Capelin"
"164","Gulf of Alaska","Microgadus proximus","Pacific tomcod"
"165","Gulf of Alaska","Microstomus pacificus","Dover sole"
"166","Gulf of Alaska","Myoxocephalus polyacanthocephalus","Great sculpin"
"167","Gulf of Alaska","Oncorhynchus keta","Chum salmon"
"168","Gulf of Alaska","Oncorhynchus kisutch","Coho salmon"
"169","Gulf of Alaska","Oncorhynchus tshawytscha","Chinook salmon"
"170","Gulf of Alaska","Ophiodon elongatus","Lingcod"
"171","Gulf of Alaska","Oregonia gracilis","Graceful decorator crab"
"172","Gulf of Alaska","Pandalopsis dispar","Sidestripe shrimp"
"173","Gulf of Alaska","Pandalus eous","Alaskan pink shrimp"
"174","Gulf of Alaska","Pandalus platyceros","Spot shrimp"
"175","Gulf of Alaska","Parophrys vetulus","English sole"
"176","Gulf of Alaska","Pasiphaea pacifica","Pacific glass shrimp"
"177","Gulf of Alaska","Patinopecten caurinus","Weathervane scallop"
"178","Gulf of Alaska","Placetron wosnessenskii","Scaled crab"
"179","Gulf of Alaska","Platichthys stellatus","Starry flounder"
"180","Gulf of Alaska","Pleurogrammus monopterygius","Atka mackerel"
"181","Gulf of Alaska","Pleuronectes quadrituberculatus","Alaska plaice"
"182","Gulf of Alaska","Podothecus accipenserinus","Sturgeon poacher"
"183","Gulf of Alaska","Psettichthys melanostictus","Pacific sand sole"
"184","Gulf of Alaska","Pycnopodia helianthoides","Sunflower sea star"
"185","Gulf of Alaska","Beringraja rhina","Longnose skate"
"186","Gulf of Alaska","Rossia pacifica","Eastern pacific bobtail"
"187","Gulf of Alaska","Sebastes alutus","Pacific ocean perch"
"188","Gulf of Alaska","Sebastes babcocki","Redbanded rockfish"
"189","Gulf of Alaska","Sebastes borealis","Shortraker rockfish"
"190","Gulf of Alaska","Sebastes brevispinis","Silvergray rockfish"
"191","Gulf of Alaska","Sebastes crameri","Darkblotched rockfish"
"192","Gulf of Alaska","Sebastes elongatus","Greenstriped rockfish"
"193","Gulf of Alaska","Sebastes helvomaculatus","Rosethorn rockfish"
"194","Gulf of Alaska","Sebastes melanops","Black rockfish"
"195","Gulf of Alaska","Sebastes melanostictus and S. aleutianus","Blackspotted and rougheye rockfish"
"196","Gulf of Alaska","Sebastes pinniger","Canary rockfish"
"197","Gulf of Alaska","Sebastes polyspinis","Northern rockfish"
"198","Gulf of Alaska","Sebastes proriger","Redstripe rockfish"
"199","Gulf of Alaska","Sebastes ruberrimus","Rasphead rockfish"
"200","Gulf of Alaska","Sebastes variabilis and S. ciliatus","Dusky and dark rockfish"
"201","Gulf of Alaska","Sebastes variegatus","Harlequin rockfish"
"202","Gulf of Alaska","Sebastes zacentrus","Sharpchin rockfish"
"203","Gulf of Alaska","Sebastolobus alascanus","Shortspine thornyhead"
"204","Gulf of Alaska","Somniosus pacificus","Pacific sleeper shark"
"205","Gulf of Alaska","Squalus suckleyi","Pacific spiny dogfish"
"206","Gulf of Alaska","Strongylocentrotus droebachiensis","Green sea urchin"
"207","Gulf of Alaska","Thaleichthys pacificus","Eulachon"
"208","Gulf of Alaska","Trichodon trichodon","Pacific sandfish"
"209","Gulf of Alaska","Triglops forficatus","Scissortail sculpin"
"210","Gulf of Alaska","Triglops macellus","Roughspine sculpin"
"211","Gulf of Alaska","Triglops scepticus","Spectacled sculpin"
"212","Gulf of Alaska","Zaprora silenus","Prowfish"
"213","Gulf of Mexico","Acanthostracion quadricornis","Scrawled cowfish"
"214","Gulf of Mexico","Aluterus heudelotii","Dotterel filefish"
"215","Gulf of Mexico","Anadara baughmani","Skewed ark"
"216","Gulf of Mexico","Anchoa hepsetus","Striped anchovy"
"217","Gulf of Mexico","Anchoa mitchilli","Bay anchovy"
"218","Gulf of Mexico","Antennarius striatus","Striated frogfish"
"219","Gulf of Mexico","Apogon affinis","Bigtooth cardinalfish"
"220","Gulf of Mexico","Apogon pseudomaculatus","Twospot cardinalfish"
"221","Gulf of Mexico","Arbacia punctulata","Purple-spined sea urchin"
"222","Gulf of Mexico","Argopecten gibbus","Calico scallop"
"223","Gulf of Mexico","Asteroporpa annulata","Brittle star"
"224","Gulf of Mexico","Astropecten articulatus","Royal sea star"
"225","Gulf of Mexico","Astropecten cingulatus","Sea star"
"226","Gulf of Mexico","Astropecten duplicatus","Two-spined star fish"
"227","Gulf of Mexico","Bagre marinus","Gafftopsail catfish"
"228","Gulf of Mexico","Balistes capriscus","Gray triggerfish"
"229","Gulf of Mexico","Bellator militaris","Horned searobin"
"230","Gulf of Mexico","Bollmannia communis","Ragged goby"
"231","Gulf of Mexico","Bregmaceros atlanticus","Antenna codlet"
"232","Gulf of Mexico","Brevoortia patronus","Gulf menhaden"
"233","Gulf of Mexico","Calamus arctifrons","Grass porgy"
"234","Gulf of Mexico","Calamus leucosteus","Whitebone porgy"
"235","Gulf of Mexico","Calamus nodosus","Knobbed porgy"
"236","Gulf of Mexico","Calamus penna","Sheepshead porgy"
"237","Gulf of Mexico","Calamus proridens","Littlehead porgy"
"238","Gulf of Mexico","Calappa flammea","Flame box crab"
"239","Gulf of Mexico","Calappa sulcata","Yellow box crab"
"240","Gulf of Mexico","Callinectes sapidus","Blue crab"
"241","Gulf of Mexico","Callinectes similis","Lesser blue crab"
"242","Gulf of Mexico","Caranx crysos","Blue runner"
"243","Gulf of Mexico","Carcharhinus acronotus","Blacknose shark"
"244","Gulf of Mexico","Caulolatilus intermedius","Anchor tilefish"
"245","Gulf of Mexico","Centropristis ocyurus","Bank sea bass"
"246","Gulf of Mexico","Chaetodipterus faber","Atlantic spadefish"
"247","Gulf of Mexico","Chaetodon ocellatus","Spotfin butterflyfish"
"248","Gulf of Mexico","Chaetodon sedentarius","Reef butterflyfish"
"249","Gulf of Mexico","Chilomycterus schoepfii","Striped burrfish"
"250","Gulf of Mexico","Chloroscombrus chrysurus","Atlantic bumper"
"251","Gulf of Mexico","Chromis enchrysura","Yellowtail reeffish"
"252","Gulf of Mexico","Chrysaora quinquecirrha","Sea nettle"
"253","Gulf of Mexico","Dardanus insignis","Red brocade hermit"
"254","Gulf of Mexico","Decapterus punctatus","Round scad"
"255","Gulf of Mexico","Decodon puellaris","Red hogfish"
"256","Gulf of Mexico","Diplectrum bivittatum","Dwarf sand perch"
"257","Gulf of Mexico","Diplectrum formosum","Sand perch"
"258","Gulf of Mexico","Echeneis naucrates","Sharksucker"
"259","Gulf of Mexico","Echiophis intertinctus","Spotted spoon-nose eel"
"260","Gulf of Mexico","Encope michelini","Notched sand dollar"
"261","Gulf of Mexico","Engyophrys senta","Spiny flounder"
"262","Gulf of Mexico","Epinephelus morio","Red grouper"
"263","Gulf of Mexico","Equetus lanceolatus","Jackknife-fish"
"264","Gulf of Mexico","Etrumeus teres","Round herring"
"265","Gulf of Mexico","Eucidaris tribuloides","Slate pencil urchin"
"266","Gulf of Mexico","Eucinostomus gula","Silver jenny"
"267","Gulf of Mexico","Goniaster tesselatus","Giant sunfish"
"268","Gulf of Mexico","Gymnachirus melas","Naked sole"
"269","Gulf of Mexico","Gymnothorax nigromarginatus","Blackedge moray"
"270","Gulf of Mexico","Gymnothorax saxicola","Honeycomb moray"
"271","Gulf of Mexico","Haemulon aurolineatum","Tomtate"
"272","Gulf of Mexico","Halieutichthys aculeatus","Pancake batfish"
"273","Gulf of Mexico","Harengula jaguana","Scaled sardine"
"274","Gulf of Mexico","Hepatus epheliticus","Calico box crab"
"275","Gulf of Mexico","Hippocampus erectus","Lined seahorse"
"276","Gulf of Mexico","Holacanthus bermudensis","Blue angelfish"
"277","Gulf of Mexico","Iliacantha subglobosa","Longfinger purse crab"
"278","Gulf of Mexico","Isostichopus badionotus","Chocolate chip sea cucumber"
"279","Gulf of Mexico","Kathetostoma albigutta","Lancer stargazer"
"280","Gulf of Mexico","Lachnolaimus maximus","Hogfish"
"281","Gulf of Mexico","Lagocephalus laevigatus","Smooth puffer"
"282","Gulf of Mexico","Lagodon rhomboides","Pinfish"
"283","Gulf of Mexico","Larimus fasciatus","Banded drum"
"284","Gulf of Mexico","Leiolambrus nitidus","White elbow crab"
"285","Gulf of Mexico","Leiostomus xanthurus","Spot"
"286","Gulf of Mexico","Lepophidium brevibarbe","Blackedge cusk-eel"
"287","Gulf of Mexico","Lepophidium jeannae","Mottled cusk-eel"
"288","Gulf of Mexico","Lolliguncula brevis","Atlantic brief squid"
"289","Gulf of Mexico","Luidia alternata","Banded sea star"
"290","Gulf of Mexico","Luidia clathrata","Lined sea star"
"291","Gulf of Mexico","Lutjanus campechanus","Red snapper"
"292","Gulf of Mexico","Lutjanus griseus","Gray snapper"
"293","Gulf of Mexico","Lutjanus synagris","Lane snapper"
"294","Gulf of Mexico","Lytechinus variegatus","Variegated urchin"
"295","Gulf of Mexico","Menticirrhus americanus","Southern kingfish"
"296","Gulf of Mexico","Metapenaeopsis goodei","Carribean velvet shrimp"
"297","Gulf of Mexico","Micropogonias undulatus","Atlantic croaker"
"298","Gulf of Mexico","Monacanthus ciliatus","Fringed filefish"
"299","Gulf of Mexico","Mullus auratus","Red goatfish"
"300","Gulf of Mexico","Mustelus canis","Smooth dogfish"
"301","Gulf of Mexico","Mycteroperca phenax","Scamp"
"302","Gulf of Mexico","Myropsis quinquespinosa","Fivespine purse crab"
"303","Gulf of Mexico","Narcissia trigonaria","Na"
"304","Gulf of Mexico","Neomerinthe hemingwayi","Spinycheek scorpionfish"
"305","Gulf of Mexico","Nicholsina usta","Emerald parrotfish"
"306","Gulf of Mexico","Octopus vulgaris","Common octopus"
"307","Gulf of Mexico","Ogcocephalus corniger","Longnose batfish"
"308","Gulf of Mexico","Ogcocephalus declivirostris","Slantbrow batfish"
"309","Gulf of Mexico","Ogcocephalus pantostictus","Spotted batfish"
"310","Gulf of Mexico","Ogcocephalus parvus","Roughback batfish"
"311","Gulf of Mexico","Ophidion grayi","Blotched cusk-eel"
"312","Gulf of Mexico","Ophiolepis elegans","Elegant brittle star"
"313","Gulf of Mexico","Ophiothrix angulata","Angular brittle star"
"314","Gulf of Mexico","Opisthonema oglinum","Atlantic thread herring"
"315","Gulf of Mexico","Ovalipes floridanus","Florida lady crab"
"316","Gulf of Mexico","Pagrus pagrus","Red porgy"
"317","Gulf of Mexico","Paguristes sericeus","Blue-eyed hermit"
"318","Gulf of Mexico","Pagurus bullisi","Hermit crab"
"319","Gulf of Mexico","Parapenaeus politus","Rose shrimp"
"320","Gulf of Mexico","Farfantepenaeus aztecus","Brown shrimp"
"321","Gulf of Mexico","Farfantepenaeus duorarum","Pink shrimp"
"322","Gulf of Mexico","Litopenaeus setiferus","Northern white shrimp"
"323","Gulf of Mexico","Peprilus burti","Gulf butterfish"
"324","Gulf of Mexico","Peristedion gracile","Slender searobin"
"325","Gulf of Mexico","Persephona crinita","Pink purse crab"
"326","Gulf of Mexico","Pentrochirus diogenes","Giant hermit"
"327","Gulf of Mexico","Pilumnus sayi","Spineback hairy crab"
"328","Gulf of Mexico","Pitar cordatus","Na"
"329","Gulf of Mexico","Polystira albida","White giant-turris"
"330","Gulf of Mexico","Porichthys plectrodon","Atlantic midshipman"
"331","Gulf of Mexico","Portunus gibbesii","Iridescent swimming crab"
"332","Gulf of Mexico","Priacanthus arenatus","Atlantic bigeye"
"333","Gulf of Mexico","Prionotus alatus","Spiny searobin"
"334","Gulf of Mexico","Prionotus longispinosus","Bigeye searobin"
"335","Gulf of Mexico","Prionotus martis","Gulf of mexico barred searobin"
"336","Gulf of Mexico","Prionotus ophryas","Bandtail searobin"
"337","Gulf of Mexico","Prionotus paralatus","Mexican searobin"
"338","Gulf of Mexico","Prionotus roseus","Bluespotted searobin"
"339","Gulf of Mexico","Prionotus rubio","Blackfin searobin"
"340","Gulf of Mexico","Prionotus scitulus","Leopard searobin"
"341","Gulf of Mexico","Prionotus stearnsi","Shortwing searobin"
"342","Gulf of Mexico","Prionotus tribulus","Bighead searobin"
"343","Gulf of Mexico","Pristigenys alta","Short bigeye"
"344","Gulf of Mexico","Pristipomoides aquilonaris","Wenchman"
"345","Gulf of Mexico","Raja eglanteria","Clearnose skate"
"346","Gulf of Mexico","Raninoides louisianensis","Gulf frog crab"
"347","Gulf of Mexico","Rhizoprionodon terraenovae","Atlantic sharpnose shark"
"348","Gulf of Mexico","Rhomboplites aurorubens","Vermilion snapper"
"349","Gulf of Mexico","Rossia spp.","Benthic bobtail squid"
"350","Gulf of Mexico","Rypticus maculatus","Whitespotted soapfish"
"351","Gulf of Mexico","Sardinella aurita","Spanish sardine"
"352","Gulf of Mexico","Saurida brasiliensis","Largescale lizardfish"
"353","Gulf of Mexico","Saurida normani","Shortjaw lizardfish"
"354","Gulf of Mexico","Sconsia striata","Royal bonnet"
"355","Gulf of Mexico","Scorpaena agassizii","Longfin scorpionfish"
"356","Gulf of Mexico","Scorpaena brasiliensis","Barbfish"
"357","Gulf of Mexico","Scorpaena calcarata","Smoothhead scorpionfish"
"358","Gulf of Mexico","Scyllarides nodifer","Ridged slipper lobster"
"359","Gulf of Mexico","Selar crumenophthalmus","Bigeye scad"
"360","Gulf of Mexico","Selene setapinnis","Atlantic moonfish"
"361","Gulf of Mexico","Seriola dumerili","Greater amberjack"
"362","Gulf of Mexico","Serranus atrobranchus","Blackear bass"
"363","Gulf of Mexico","Serranus notospilus","Saddle bass"
"364","Gulf of Mexico","Serranus phoebe","Tattler"
"365","Gulf of Mexico","Sicyonia brevirostris","Brown rock shrimp"
"366","Gulf of Mexico","Sicyonia burkenroadi","Spiny rock shrimp"
"367","Gulf of Mexico","Sicyonia dorsalis","Lesser rock shrimp"
"368","Gulf of Mexico","Sphoeroides dorsalis","Marbled puffer"
"369","Gulf of Mexico","Sphoeroides nephelus","Southern puffer"
"370","Gulf of Mexico","Sphoeroides parvus","Least puffer"
"371","Gulf of Mexico","Sphoeroides spengleri","Bandtail puffer"
"372","Gulf of Mexico","Sphyraena guachancho","Guachanche barracuda"
"373","Gulf of Mexico","Squilla chydaea","Offshore mantis shrimp"
"374","Gulf of Mexico","Squilla empusa","Mantis shrimp"
"375","Gulf of Mexico","Stellifer lanceolatus","Star drum"
"376","Gulf of Mexico","Stenotomus caprinus","Longspine porgy"
"377","Gulf of Mexico","Stephanolepis hispidus","Planehead filefish"
"378","Gulf of Mexico","Stylocidaris affinis","Pencil urchin"
"379","Gulf of Mexico","Symphurus diomedeanus","Spottedfin tonguefish"
"380","Gulf of Mexico","Symphurus plagiusa","Blackcheek tonguefish"
"381","Gulf of Mexico","Symphurus urospilus","Spottail tonguefish"
"382","Gulf of Mexico","Synodus foetens","Inshore lizardfish"
"383","Gulf of Mexico","Synodus intermedius","Sand diver"
"384","Gulf of Mexico","Synodus poeyi","Offshore lizardfish"
"385","Gulf of Mexico","Tethyaster grandis","Sea star"
"386","Gulf of Mexico","Tonna galea","Giant tun"
"387","Gulf of Mexico","Trachinocephalus myops","Snakefish"
"388","Gulf of Mexico","Trachurus lathami","Rough scad"
"389","Gulf of Mexico","Trichiurus lepturus","Atlantic cutlassfish"
"390","Gulf of Mexico","Trichopsetta ventralis","Sash flounder"
"391","Gulf of Mexico","Upeneus parvus","Dwarf goatfish"
"392","Northeast US Fall","Alosa pseudoharengus","Alewife"
"393","Northeast US Fall","Alosa sapidissima","American shad"
"394","Northeast US Fall","Amblyraja radiata","Thorny skate"
"395","Northeast US Fall","Brosme brosme","Cusk"
"396","Northeast US Fall","Cancer borealis","Jonah crab"
"397","Northeast US Fall","Centropristis striata","Black sea bass"
"398","Northeast US Fall","Citharichthys arctifrons","Gulf stream flounder"
"399","Northeast US Fall","Clupea harengus","Atlantic herring"
"400","Northeast US Fall","Crustacea shrimp","Crustaceans"
"401","Northeast US Fall","Cynoscion regalis","Weakfish"
"402","Northeast US Fall","Dasyatis centroura","Roughtail stingray"
"403","Northeast US Fall","Etrumeus teres","Round herring"
"404","Northeast US Fall","Gadus morhua","Atlantic cod"
"405","Northeast US Fall","Glyptocephalus cynoglossus","Witch flounder"
"406","Northeast US Fall","Helicolenus dactylopterus","Blackbelly rosefish"
"407","Northeast US Fall","Hemitripterus americanus","Sea raven"
"408","Northeast US Fall","Hippoglossoides platessoides","American plaice"
"409","Northeast US Fall","Homarus americanus","American lobster"
"410","Northeast US Fall","Illex illecebrosus","Northern shortfin squid"
"411","Northeast US Fall","Leiostomus xanthurus","Spot"
"412","Northeast US Fall","Lepophidium profundorum","Fawn cusk-eel"
"413","Northeast US Fall","Leucoraja erinacea","Little skate"
"414","Northeast US Fall","Leucoraja garmani","Rosette skate"
"415","Northeast US Fall","Leucoraja ocellata","Winter skate"
"416","Northeast US Fall","Limanda ferruginea","Yellowtail flounder"
"417","Northeast US Fall","Doryteuthis (Amerigo) pealeii","Longfin inshore squid"
"418","Northeast US Fall","Lophius americanus","Goosefish"
