"","Region","SurveyName","Species","Common","TrendCategory","Notes"
"22","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Hemilepidotus jordani","Yellow irish lord","Persistently Present",NA
"23","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Hemilepidotus zapus","Longfin irish lord","Persistently Present",NA
"24","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Hemitripterus bolini","Bigmouth sculpin","Persistently Present",NA
"25","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Hippasteria phrygiana","Arctic cushion star","Persistently Present",NA
"26","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Hippoglossoides elassodon","Flathead sole","Persistently Present",NA
"27","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Hippoglossus stenolepis","Pacific halibut","Persistently Present",NA
"28","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Hyas lyratus","Pacific lyre crab","Persistently Present",NA
"29","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Lepidopsetta sp.","Rock soles","Persistently Present",NA
"30","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Leptasterias coei truculenta","Giant Aleutian six-rayed star","Potentially Emerging","Preliminary trend - under review"
"31","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Lethasterias nanimensis","Black spined sea star","Persistently Present",NA
"32","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Lethotremus muticus","Docked snailfish","Sporadic - Primarily Present",NA
"33","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Lithodes aequispinus","Golden king crab","Persistently Present",NA
"34","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Lycodes concolor","Ebony eelpout","Persistently Present",NA
"35","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Malacocottus zonurus","Darkfin sculpin","Persistently Present",NA
"36","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Microstomus pacificus","Dover sole","Persistently Present",NA
"37","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Modiolus modiolus","Northern horsemussel","Persistently Present",NA
"38","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Myoxocephalus polyacanthocephalus","Great sculpin","Persistently Present",NA
"39","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Oregonia gracilis","Graceful decorator crab","Persistently Present",NA
"40","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Pagurus aleuticus","Aleutian hermit","Persistently Present",NA
"41","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Pagurus brandti","Sponge hermit","Persistently Present",NA
"42","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Pagurus trigonocheirus","Fuzzy hermit","Emerged","Preliminary trend - under review"
"43","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Pleurogrammus monopterygius","Atka mackerel","Persistently Present",NA
"44","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Podothecus accipenserinus","Sturgeon poacher","Persistently Present",NA
"45","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Pseudarchaster parelii","Northern scarlet star","Persistently Present",NA
"46","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Reinhardtius hippoglossoides","Greenland halibut","Persistently Present",NA
"47","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Rossia pacifica","Eastern pacific bobtail","Persistently Present",NA
"48","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Sarritor frenatus","Sawback poacher","Persistently Present",NA
"49","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Sebastes alutus","Pacific ocean perch","Persistently Present",NA
"50","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Sebastes borealis","Shortraker rockfish","Persistently Present",NA
"51","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Sebastes polyspinis","Northern rockfish","Persistently Present",NA
"52","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Sebastolobus alascanus","Shortspine thornyhead","Persistently Present",NA
"53","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Solaster dawsoni","Morning sun star","Sporadic - Primarily Present",NA
"54","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Triglops forficatus","Scissortail sculpin","Persistently Present",NA
"55","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Triglops scepticus","Spectacled sculpin","Persistently Present",NA
"56","Aleutian Islands","Aleutian Islands Bottom Trawl Survey","Zaprora silenus","Prowfish","Persistently Present",NA
"57","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Anoplopoma fimbria","Sablefish","Sporadic - Primarily Present",NA
"58","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Arctoraja parmifera","Alaska skate","Emerged","Preliminary trend - under review"
"59","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Aspidophoroides monopterygius","Alligatorfish","Persistently Present",NA
"60","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Asterias amurensis","North pacific seastar","Persistently Present",NA
"61","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Aulacofusus herendeeni","Thin-ribbed whelk","Persistently Present",NA
"62","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Bathymaster signatus","Searcher","Persistently Present",NA
"63","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Boreogadus saida","Arctic cod","Persistently Present",NA
"64","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Chionoecetes bairdi","Tanner crab","Persistently Present",NA
"65","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Chionoecetes opilio","Snow crab","Persistently Present",NA
"66","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Ciliatocardium ciliatum","Hairy cockle","Persistently Present",NA
"67","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Clupea pallasii","Pacific herring","Persistently Present",NA
"68","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Crossaster papposus","Common sunstar","Persistently Present",NA
"69","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Ctenodiscus crispatus","Mud star","Persistently Present",NA
"70","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Dasycottus setiger","Spinyhead sculpin","Persistently Present",NA
"71","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Echinarachnius parma","Common sand dollar","Persistently Present",NA
"72","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Elassochirus cavimanus","Purple hermit","Emerged",NA
"73","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Eleginus gracilis","Saffron cod","Persistently Present",NA
"74","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Enteroctopus dofleini","North pacific giant octopus","Emerged",NA
"75","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Erimacrus isenbeckii","Hair crab","Persistently Present",NA
"76","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Evasterias echinosoma","Giant sea star","Persistently Present",NA
"77","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Gadus chalcogrammus","Walleye pollock","Persistently Present",NA
"78","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Gadus macrocephalus","Pacific cod","Persistently Present",NA
"79","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Glebocarcinus oregonensis","Pygmy rock crab","Persistently Present",NA
"80","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Glyptocephalus zachirus","Rex sole","Persistently Present",NA
"81","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Gorgonocephalus eucnemis","Basket star","Persistently Present",NA
"82","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Gymnocanthus galeatus","Armorhead sculpin","Persistently Present",NA
"83","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Gymnocanthus pistilliger","Threaded sculpin","Persistently Present",NA
"84","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Hemilepidotus jordani","Yellow irish lord","Persistently Present",NA
"85","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Hemilepidotus papilio","Butterfly sculpin","Persistently Present",NA
"86","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Hemitripterus bolini","Bigmouth sculpin","Persistently Present",NA
"87","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Hexagrammos stelleri","Whitespotted greenling","Persistently Present",NA
"88","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Hippoglossus stenolepis","Pacific halibut","Persistently Present",NA
"89","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Hyas coarctatus","Arctic lyre crab","Persistently Present",NA
"90","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Hyas lyratus","Pacific lyre crab","Persistently Present",NA
"91","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Icelus spatula","Spatulate sculpin","Emerged",NA
"92","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Icelus spiniger","Thorny sculpin","Persistently Present",NA
"93","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Isopsetta isolepis","Butter sole","Persistently Present",NA
"94","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Labidochirus splendescens","Splendid hermit","Emerged",NA
"95","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Lepidopsetta sp.","Rock soles","Persistently Present",NA
"96","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Leptasterias arctica","Arctic star","Persistently Present",NA
"97","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Leptasterias groenlandica","Greenland star","Emerged",NA
"98","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Leptoclinus maculatus","Daubed shanny","Persistently Present",NA
"99","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Leptychaster anomalus","Pentagonal sand star","Potentially Emerging","Preliminary trend - under review"
"100","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Lethasterias nanimensis","Black spined sea star","Persistently Present",NA
"101","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Limanda aspera","Yellowfin sole","Persistently Present",NA
"102","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Limanda sakhalinensis","Sakhalin sole","Persistently Present",NA
"103","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Lumpenus sagitta","Snake prickleback","Sporadic - Primarily Present",NA
"104","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Lycodes brevipes","Shortfin eelpout","Persistently Present",NA
"105","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Lycodes palearis","Wattled eelpout","Persistently Present",NA
"106","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Lycodes raridens","Marbled eelpout","Sporadic - Primarily Present",NA
"107","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Mallotus villosus","Capelin","Persistently Present",NA
"108","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Megangulus luteus","Alaskan great tellin","Emerged",NA
"109","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Myoxocephalus jaok","Plain sculpin","Persistently Present",NA
"110","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Myoxocephalus polyacanthocephalus","Great sculpin","Persistently Present",NA
"111","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Myoxocephalus scorpius","Shorthorn sculpin","Emerged",NA
"112","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Myzopsetta proboscidea","Longhead dab","Persistently Present",NA
"113","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Neocrangon communis","Gray shrimp","Potentially Disappearing",NA
"114","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Occella dodecaedron","Bering poacher","Persistently Present",NA
"115","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Oregonia gracilis","Graceful decorator crab","Persistently Present",NA
"116","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pagurus aleuticus","Aleutian hermit","Emerged",NA
"117","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pagurus brandti","Sponge hermit","Sporadic - Primarily Present",NA
"118","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pagurus capillatus","Hairy hermit crab","Emerged",NA
"119","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pagurus confragosus","Knobbyhand hermit","Emerged",NA
"120","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pagurus ochotensis","Alaskan hermit crab","Persistently Present",NA
"121","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pagurus rathbuni","Longfinger hermit","Emerged",NA
"122","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pagurus trigonocheirus","Fuzzy hermit","Emerged",NA
"123","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Paralithodes camtschaticus","Red king crab","Persistently Present",NA
"124","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Paralithodes platypus","Blue king crab","Persistently Present",NA
"125","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Patinopecten caurinus","Weathervane scallop","Persistently Present",NA
"126","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Platichthys stellatus","Starry flounder","Persistently Present",NA
"127","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Pleuronectes quadrituberculatus","Alaska plaice","Persistently Present",NA
"128","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Podothecus accipenserinus","Sturgeon poacher","Persistently Present",NA
"129","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Reinhardtius hippoglossoides","Greenland halibut","Persistently Present",NA
"130","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Sarritor frenatus","Sawback poacher","Persistently Present",NA
"131","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Telmessus cheiragonus","Helmet crab","Persistently Present",NA
"132","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Thaleichthys pacificus","Eulachon","Persistently Present",NA
"133","Eastern Bering Sea","Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","Triglops pingelii","Ribbed sculpin","Persistently Present",NA
"134","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Albatrossia pectoralis","Giant grenadier","Persistently Present",NA
"135","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Anoplopoma fimbria","Sablefish","Persistently Present",NA
"136","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Atheresthes stomias","Arrowtooth flounder","Persistently Present",NA
"137","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Bathymaster signatus","Searcher","Persistently Present",NA
"138","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Beringraja binoculata","Big skate","Persistently Present",NA
"139","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Beringraja rhina","Longnose skate","Persistently Present",NA
"140","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Berryteuthis magister","Magister armhook squid","Persistently Present",NA
"141","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Ceramaster patagonicus","Cookie star","Persistently Present",NA
"142","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Chionoecetes bairdi","Tanner crab","Persistently Present",NA
"143","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Clupea pallasii","Pacific herring","Persistently Present",NA
"144","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Crossaster papposus","Common sunstar","Persistently Present",NA
"145","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Ctenodiscus crispatus","Mud star","Persistently Present",NA
"146","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Dasycottus setiger","Spinyhead sculpin","Persistently Present",NA
"147","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Dipsacaster borealis","Northern sand star","Persistently Present",NA
"148","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Elassochirus cavimanus","Purple hermit","Persistently Present","Preliminary trend - under review"
"149","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Elassochirus tenuimanus","Widehand hermit","Persistently Present","Preliminary trend - under review"
"150","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Enteroctopus dofleini","North pacific giant octopus","Persistently Present",NA
"151","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Gadus chalcogrammus","Walleye pollock","Persistently Present",NA
"152","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Gadus macrocephalus","Pacific cod","Persistently Present",NA
"153","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Glyptocephalus zachirus","Rex sole","Persistently Present",NA
"154","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Gorgonocephalus eucnemis","Basket star","Persistently Present",NA
"155","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Hemilepidotus jordani","Yellow irish lord","Persistently Present",NA
"156","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Hemitripterus bolini","Bigmouth sculpin","Persistently Present",NA
"157","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Hexagrammos decagrammus","Kelp greenling","Persistently Present",NA
"158","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Hippoglossoides elassodon","Flathead sole","Persistently Present",NA
"159","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Hippoglossus stenolepis","Pacific halibut","Persistently Present",NA
"160","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Hyas lyratus","Pacific lyre crab","Persistently Present",NA
"161","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Hydrolagus colliei","Spotted ratfish","Persistently Present",NA
"162","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Isopsetta isolepis","Butter sole","Persistently Present",NA
"163","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Lepidopsetta sp.","Rock soles","Persistently Present",NA
"164","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Lethasterias nanimensis","Black spined sea star","Persistently Present",NA
"165","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Limanda aspera","Yellowfin sole","Persistently Present",NA
"166","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Lycodes brevipes","Shortfin eelpout","Persistently Present",NA
"167","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Lycodes palearis","Wattled eelpout","Persistently Present",NA
"168","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Lyopsetta exilis","Slender sole","Persistently Present",NA
"169","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Malacocottus zonurus","Darkfin sculpin","Persistently Present",NA
"170","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Mallotus villosus","Capelin","Persistently Present",NA
"171","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Merluccius productus","Pacific hake","Persistently Present",NA
"172","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Microstomus pacificus","Dover sole","Persistently Present",NA
"173","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Modiolus modiolus","Northern horsemussel","Persistently Present",NA
"174","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Myoxocephalus polyacanthocephalus","Great sculpin","Persistently Present",NA
"175","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Oncorhynchus keta","Chum salmon","Persistently Present",NA
"176","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Oncorhynchus tshawytscha","Chinook salmon","Persistently Present",NA
"177","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Ophiodon elongatus","Lingcod","Persistently Present",NA
"178","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Oregonia gracilis","Graceful decorator crab","Persistently Present",NA
"179","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Orthasterias koehleri","Rainbow star","Persistently Present",NA
"180","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Pagurus aleuticus","Aleutian hermit","Persistently Present",NA
"181","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Pagurus brandti","Sponge hermit","Persistently Present",NA
"182","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Pagurus capillatus","Hairy hermit crab","Persistently Present",NA
"183","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Pagurus confragosus","Knobbyhand hermit","Persistently Present",NA
"184","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Pagurus kennerlyi","Bluespine hermit","Persistently Present","Preliminary trend - under review"
"185","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Pagurus ochotensis","Alaskan hermit crab","Persistently Present","Preliminary trend - under review"
"186","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Pagurus trigonocheirus","Fuzzy hermit","Persistently Present",NA
"187","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Parophrys vetulus","English sole","Persistently Present",NA
"188","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Pasiphaea pacifica","Pacific glass shrimp","Persistently Present",NA
"189","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Platichthys stellatus","Starry flounder","Persistently Present",NA
"190","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Pleurogrammus monopterygius","Atka mackerel","Persistently Present",NA
"191","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Pleuronectes quadrituberculatus","Alaska plaice","Persistently Present",NA
"192","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Podothecus accipenserinus","Sturgeon poacher","Persistently Present",NA
"193","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Pseudarchaster parelii","Northern scarlet star","Persistently Present",NA
"194","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Pycnopodia helianthoides","Sunflower sea star","Persistently Present",NA
"195","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Rossia pacifica","Eastern pacific bobtail","Persistently Present",NA
"196","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Sebastes alutus","Pacific ocean perch","Persistently Present",NA
"197","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Sebastes babcocki","Redbanded rockfish","Persistently Present",NA
"198","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Sebastes borealis","Shortraker rockfish","Persistently Present",NA
"199","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Sebastes brevispinis","Silvergray rockfish","Persistently Present",NA
"200","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Sebastes polyspinis","Northern rockfish","Persistently Present",NA
"201","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Sebastes proriger","Redstripe rockfish","Persistently Present",NA
"202","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Sebastes variegatus","Harlequin rockfish","Persistently Present",NA
"203","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Sebastes zacentrus","Sharpchin rockfish","Persistently Present",NA
"204","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Sebastolobus alascanus","Shortspine thornyhead","Persistently Present",NA
"205","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Squalus suckleyi","Pacific spiny dogfish","Persistently Present",NA
"206","Gulf of Alaska","Gulf of Alaska Bottom Trawl Survey","Stylasterias forreri","Velcro star","Persistently Present",NA
