survey_name,valid_name,common,rank,class,order,family,citation,valid_authority,valid_AuthID,url,src_database
Acanella arbuscula,Acanella arbuscula,Bonsai bamboo coral,Species,Anthozoa,Scleralcyonacea,Keratoisididae,"McFadden, C.; Cordeiro, R.; Williams, G.; van Ofwegen, L. (2022). World List of Octocorallia. Acanella arbuscula (Johnson, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125371 on 2022-12-19","(Johnson, 1862)",125371,https://www.marinespecies.org/aphia.php?p=taxdetails&id=125371,WORMS
Acanthascus,Acanthascus,,HigherOrder,Hexactinellida,Lyssacinosida,Rossellidae,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Carballo, J.L.; Cárdenas, P.; Díaz, M.-C.; Dohrmann, M.; Downey, R.; Goodwin, C.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Lim, S.C.; Manconi, R.; Morrow, C.; Pinheiro, U.; Pisera, A.B.; Ríos, P.; Rützler, K.; Schönberg, C.; Vacelet, J.; van Soest, R.W.M.; Xavier, J. (2023). World Porifera Database. Acanthascus Schulze, 1886. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=171966 on 2023-01-31","Schulze, 1886",171966,https://www.marinespecies.org/aphia.php?p=taxdetails&id=171966,worms
Acanthascus sp.,Acanthascus,,HigherOrder,Hexactinellida,Lyssacinosida,Rossellidae,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Carballo, J.L.; Cárdenas, P.; Díaz, M.-C.; Dohrmann, M.; Downey, R.; Goodwin, C.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Lim, S.C.; Manconi, R.; Morrow, C.; Pinheiro, U.; Pisera, A.B.; Ríos, P.; Rützler, K.; Schönberg, C.; Vacelet, J.; van Soest, R.W.M.; Xavier, J. (2023). World Porifera Database. Acanthascus Schulze, 1886. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=171966 on 2023-01-31","Schulze, 1886",171966,https://www.marinespecies.org/aphia.php?p=taxdetails&id=171966,worms
Acanthascus sp. a,Acanthascus sp. A,,Species,Hexactinellida,Lyssacinosida,Rossellidae,,,,,worms
Acanthascus sp. b,Acanthascus sp. B,,Species,Hexactinellida,Lyssacinosida,Rossellidae,,,,,worms
Acanthasteridae,Acanthasteridae,Crown of thorns starfish,HigherOrder,,,Acanthasteridae,,,,,worms
Acanthephyra,Acanthephyra,,HigherOrder,,,,,,,,worms
Acanthephyra sp.,Acanthephyra,,HigherOrder,,,,,,,,worms
Acanthephyra curtirostris,Acanthephyra curtirostris,Peaked shrimp,Species,Malacostraca,Decapoda,Acanthephyridae,"WoRMS (2022). Acanthephyra curtirostris Wood-Mason in Wood-Mason & Alcock, 1891. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107579 on 2022-12-01","Wood-Mason <i>in</i> Wood-Mason & Alcock, 1891",107579,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107579,WORMS
Acanthephyra exemia,Acanthephyra eximia,Dressed deep-sea shrimp,Species,Malacostraca,Decapoda,Acanthephyridae,,,564909,,WORMS
Acanthephyra pelagica,Acanthephyra pelagica,Spiny pelagic deep-sea shrimp,Species,Malacostraca,Decapoda,Acanthephyridae,"WoRMS (2022). Acanthephyra pelagica (Risso, 1816). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107581 on 2022-12-19","(Risso, 1816)",107581,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107581,WORMS
Acanthephyra purpurea,Acanthephyra purpurea,Purple deep-sea shrimp,Species,Malacostraca,Decapoda,Acanthephyridae,"WoRMS (2022). Acanthephyra purpurea A. Milne-Edwards, 1881. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107582 on 2022-12-19","A. Milne-Edwards, 1881",107582,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107582,WORMS
Iliacantha intermedia,Acanthilia intermedia,Granulose purse crab,Species,Malacostraca,Decapoda,Leucosiidae,"WoRMS (2022). Iliacantha intermedia Miers, 1886. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=453474 on 2022-12-01","(Miers, 1886)",421926,https://www.marinespecies.org/aphia.php?p=taxdetails&id=453474,WORMS
Acanthocarpus,Acanthocarpus,,HigherOrder,Malacostraca,Decapoda,Calappidae,,,,,worms
Acanthocarpus alexandri,Acanthocarpus alexandri,Gladiator box crab,Species,Malacostraca,Decapoda,Calappidae,"WoRMS (2022). Acanthocarpus alexandri Stimpson, 1871. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158044 on 2022-12-01","Stimpson, 1871",158044,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158044,WORMS
Acanthocephala p.,Acanthocephala,,HigherOrder,,,,,,,,worms
Acanthogorgia armata,Acanthogorgia armata,Armoured sea fan coral,Species,Anthozoa,Malacalcyonacea,Paramuriceidae,"McFadden, C.; Cordeiro, R.; Williams, G.; van Ofwegen, L. (2022). World List of Octocorallia. Acanthogorgia armata Verrill, 1878. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125348 on 2022-12-19","Verrill, 1878",125348,https://www.marinespecies.org/aphia.php?p=taxdetails&id=125348,WORMS
Acanthogorgiidae,Acanthogorgiidae,,HigherOrder,,,,,,,,worms
Acantholiparis opercularis,Acantholiparis opercularis,Spiny snailfish,Species,Actinopteri,Perciformes,Liparidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Acantholiparis opercularis Gilbert & Burke, 1912. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279480 on 2022-12-01","Gilbert & Burke, 1912",279480,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279480,WORMS
Acantholithodes,Acantholithodes,,HigherOrder,Malacostraca,Decapoda,Hapalogastridae,"WoRMS (2023). Acantholithodes Holmes, 1895. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=590102 on 2023-01-31","Holmes, 1895",590102,https://www.marinespecies.org/aphia.php?p=taxdetails&id=590102,worms
Acantholithodes sp.,Acantholithodes,,HigherOrder,Malacostraca,Decapoda,Hapalogastridae,"WoRMS (2023). Acantholithodes Holmes, 1895. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=590102 on 2023-01-31","Holmes, 1895",590102,https://www.marinespecies.org/aphia.php?p=taxdetails&id=590102,worms
Acantholithodes hispidus,Acantholithodes hispidus,Spiny lithode crab,Species,Malacostraca,Decapoda,Hapalogastridae,"WoRMS (2022). Acantholithodes hispidus (Stimpson, 1860). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=590103 on 2022-12-01","(Stimpson, 1860)",590103,https://www.marinespecies.org/aphia.php?p=taxdetails&id=590103,WORMS
Acantholumpenus mackayi,Acantholumpenus mackayi,Pighead prickleback,Species,Actinopteri,Perciformes,Stichaeidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Acantholumpenus mackayi (Gilbert, 1896). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=249703 on 2022-12-01","(Gilbert, 1896)",249703,https://www.marinespecies.org/aphia.php?p=taxdetails&id=249703,WORMS
Acanthoptilum gracile,Acanthoptilum gracile,White sea pen,Species,Anthozoa,Scleralcyonacea,Virgulariidae,"McFadden, C.; Cordeiro, R.; Williams, G.; van Ofwegen, L. (2022). World List of Octocorallia. Acanthoptilum gracile (Gabb, 1864). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=289324 on 2022-12-01","(Gabb, 1864)",289324,https://www.marinespecies.org/aphia.php?p=taxdetails&id=289324,WORMS
Acanthostracion,Acanthostracion,,HigherOrder,Actinopteri,Tetraodontiformes,Ostraciidae,,,,,worms
Lactophrys polygonia,Acanthostracion polygonius,Honeycomb cowfish,Species,Actinopteri,Tetraodontiformes,Ostraciidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Lactophrys polygonia (Poey, 1876). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=308688 on 2022-12-01","Poey, 1876",158919,https://www.marinespecies.org/aphia.php?p=taxdetails&id=308688,WORMS
Acanthostracion quadricornis,Acanthostracion quadricornis,Scrawled cowfish,Species,Actinopteri,Tetraodontiformes,Ostraciidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Acanthostracion quadricornis (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158920 on 2022-12-01","(Linnaeus, 1758)",158920,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158920,WORMS
Lactophrys quadricornis,Acanthostracion quadricornis,Scrawled cowfish,Species,Actinopteri,Tetraodontiformes,Ostraciidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Lactophrys quadricornis (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=308690 on 2022-12-01","(Linnaeus, 1758)",158920,https://www.marinespecies.org/aphia.php?p=taxdetails&id=308690,WORMS
Acanthurus bahianus,Acanthurus bahianus,Barber surgeonfish,Species,Actinopteri,Acanthuriformes,Acanthuridae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Acanthurus bahianus Castelnau, 1855. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159578 on 2022-12-01","Castelnau, 1855",159578,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159578,WORMS
Acanthurus chirurgus,Acanthurus chirurgus,Doctorfish,Species,Actinopteri,Acanthuriformes,Acanthuridae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Acanthurus chirurgus (Bloch, 1787). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159580 on 2022-12-01","(Bloch, 1787)",159580,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159580,WORMS
Acanthurus coeruleus,Acanthurus coeruleus,Blue tang surgeonfish,Species,Actinopteri,Acanthuriformes,Acanthuridae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Acanthurus coeruleus Bloch & Schneider, 1801. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159581 on 2022-12-01","Bloch & Schneider, 1801",159581,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159581,WORMS
Acesta sphoni,Acesta sphoni,,Species,Bivalvia,Limida,Limidae,"MolluscaBase eds. (2022). MolluscaBase. Acesta sphoni (Hertlein, 1963). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=505422 on 2022-12-01","(Hertlein, 1963)",505422,https://www.marinespecies.org/aphia.php?p=taxdetails&id=505422,WORMS
Acharax johnsoni,Acharax johnsoni,,Species,Bivalvia,Solemyida,Solemyidae,"MolluscaBase eds. (2022). MolluscaBase. Acharax johnsoni (Dall, 1891). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=293239 on 2022-12-01","(Dall, 1891)",293239,https://www.marinespecies.org/aphia.php?p=taxdetails&id=293239,WORMS
Portunus depressifrons,Achelous depressifrons,Flatface swimming crab,Species,Malacostraca,Decapoda,Portunidae,,,,,WORMS
Portunus floridanus,Achelous floridanus,,Species,Malacostraca,Decapoda,Portunidae,,,,,WORMS
Portunus gibbesii,Achelous gibbesii,Iridescent swimming crab,Species,Malacostraca,Decapoda,Portunidae,"WoRMS (2022). Portunus gibbesii (Stimpson, 1859). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1061746 on 2022-12-01","(Stimpson, 1859)",557883,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1061746,WORMS
Portunus spinicarpus,Achelous spinicarpus,Longspine swimming crab,Species,Malacostraca,Decapoda,Portunidae,,,,,WORMS
Portunus spinimanus,Achelous spinimanus,Blotched swimming crab,Species,Malacostraca,Decapoda,Portunidae,"WoRMS (2022). Portunus spinimanus Latreille, 1819. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158455 on 2022-12-01","(Latreille, 1819)",456069,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158455,WORMS
Portunus ventralis,Achelous ventralis,,Species,Malacostraca,Decapoda,Portunidae,"WoRMS (2022). Portunus ventralis (A. Milne-Edwards, 1879). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1061763 on 2022-12-01","(A. Milne-Edwards, 1879)",1587865,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1061763,WORMS
Achirus lineatus,Achirus lineatus,Lined sole,Species,Actinopteri,Pleuronectiformes,Achiridae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Achirus lineatus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279493 on 2022-12-01","(Linnaeus, 1758)",279493,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279493,WORMS
Acila castrensis,Acila castrensis,,Species,Bivalvia,Nuculida,Nuculidae,"MolluscaBase eds. (2023). MolluscaBase. Acila castrensis (Hinds, 1843). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=506568 on 2023-01-30","(Hinds, 1843)",506568,https://www.marinespecies.org/aphia.php?p=taxdetails&id=506568,worms
Acipenser medirostris,Acipenser medirostris,Green sturgeon,Species,Actinopteri,Acipenseriformes,Acipenseridae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Acipenser medirostris Ayres, 1854. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=271695 on 2022-12-01","Ayres, 1854",271695,https://www.marinespecies.org/aphia.php?p=taxdetails&id=271695,WORMS
Acipenser oxyrhynchus,Acipenser oxyrinchus,Atlantic sturgeon,Species,Actinopteri,Acipenseriformes,Acipenseridae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Acipenser oxyrhynchus Mitchill, 1814. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=157870 on 2022-12-01","Mitchill, 1815",151802,https://www.marinespecies.org/aphia.php?p=taxdetails&id=157870,WORMS
Acipenser oxyrinchus,Acipenser oxyrinchus,Atlantic sturgeon,Species,Actinopteri,Acipenseriformes,Acipenseridae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Acipenser oxyrinchus Mitchill, 1815. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=151802 on 2022-12-01","Mitchill, 1815",151802,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151802,WORMS
Acmaea,Acmaea,,HigherOrder,Gastropoda,,Acmaeidae,,,,,worms
Acmaea sp.,Acmaea,,HigherOrder,Gastropoda,,Acmaeidae,,,,,worms
Acoelida,Acoelida,,HigherOrder,,,,,,,,worms
Actaea,Actaea,,HigherOrder,,,,,,,,worms
Acteocina,Acteocina,,HigherOrder,Gastropoda,Cephalaspidea,Tornatinidae,"MolluscaBase eds. (2023). MolluscaBase. Acteocina J. E. Gray, 1847. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137866 on 2023-01-31","J. E. Gray, 1847",137866,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137866,worms
Acteocina sp.,Acteocina,,HigherOrder,Gastropoda,Cephalaspidea,Tornatinidae,"MolluscaBase eds. (2023). MolluscaBase. Acteocina J. E. Gray, 1847. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137866 on 2023-01-31","J. E. Gray, 1847",137866,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137866,worms
Actinauge,Actinauge,,HigherOrder,,,,,,,,worms
Actinauge verrilli,Actinauge verrillii,Reticulate anemone,Species,Anthozoa,Actiniaria,Hormathiidae,"Rodr<ed>guez, E.; Fautin, D; Daly, M. (2022). World List of Actiniaria. Actinauge verrilli McMurrich, 1893. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158216 on 2022-12-01","McMurrich, 1893",592915,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158216,WORMS
Actinauge verrillii,Actinauge verrillii,Reticulate anemone,Species,Anthozoa,Actiniaria,Hormathiidae,"Rodr<ed>guez, E.; Fautin, D; Daly, M. (2022). World List of Actiniaria. Actinauge verrillii McMurrich, 1893. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=592915 on 2022-12-19","McMurrich, 1893",592915,https://www.marinespecies.org/aphia.php?p=taxdetails&id=592915,WORMS
Actinernus,Actinernus,,HigherOrder,Anthozoa,Actiniaria,Actinernidae,,,,,worms
Actinernus sp.,Actinernus,,HigherOrder,Anthozoa,Actiniaria,Actinernidae,,,,,worms
Actinia,Actinia,,HigherOrder,Anthozoa,Actiniaria,Actiniidae,,,,,worms
Actiniaria,Actiniaria,Sea anemones,HigherOrder,Anthozoa,Actiniaria,,,,,,worms
Actiniaria c.,Actiniaria,Sea anemones,HigherOrder,Anthozoa,Actiniaria,,,,,,worms
Actiniaria o.,Actiniaria,Sea anemones,HigherOrder,Anthozoa,Actiniaria,,,,,,worms
Actiniidae,Actiniidae,,HigherOrder,Anthozoa,Actiniaria,Actiniidae,,,,,worms
Actiniidae f.,Actiniidae,,HigherOrder,Anthozoa,Actiniaria,Actiniidae,,,,,worms
Actinoscyphia,Actinoscyphia,,HigherOrder,Anthozoa,Actiniaria,Actinoscyphiidae,,,,,worms
Actinoscyphia sp.,Actinoscyphia,,HigherOrder,Anthozoa,Actiniaria,Actinoscyphiidae,,,,,worms
Actinostola,Actinostola,,HigherOrder,Anthozoa,Actiniaria,Actinostolidae,,,,,worms
Actinostola sp.,Actinostola,,HigherOrder,Anthozoa,Actiniaria,Actinostolidae,,,,,worms
Actinostola spp.,Actinostola,,HigherOrder,Anthozoa,Actiniaria,Actinostolidae,,,,,worms
Actinostola faeculenta,Actinostola faeculenta,Hobnail vase anemone,Species,Anthozoa,Actiniaria,Actinostolidae,"Rodr<ed>guez, E.; Fautin, D; Daly, M. (2022). World List of Actiniaria. Actinostola faeculenta (McMurrich, 1893). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=854440 on 2022-12-01","(McMurrich, 1893)",854440,https://www.marinespecies.org/aphia.php?p=taxdetails&id=854440,WORMS
Paractinostola faeculenta,Actinostola faeculenta,Hobnail vase anemone,Species,Anthozoa,Actiniaria,Actinostolidae,"Rodr<ed>guez, E.; Fautin, D; Daly, M. (2022). World List of Actiniaria. Paractinostola faeculenta (McMurrich, 1893). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=290644 on 2022-12-01","(McMurrich, 1893)",854440,https://www.marinespecies.org/aphia.php?p=taxdetails&id=290644,WORMS
Actinostola groenlandica,Actinostola groenlandica,,Species,Anthozoa,Actiniaria,Actinostolidae,"Rodr<ed>guez, E.; Fautin, D; Daly, M. (2022). World List of Actiniaria. Actinostola groenlandica Carlgren, 1899. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=283451 on 2022-12-01","Carlgren, 1899",283451,https://www.marinespecies.org/aphia.php?p=taxdetails&id=283451,WORMS
Actinostola sp. a (clark 2006),Actinostola sp. A,,Species,Anthozoa,Actiniaria,Actinostolidae,,,,,worms
Actinostola sp. b (clark 2006),Actinostola sp. B,,Species,Anthozoa,Actiniaria,Actinostolidae,,,,,worms
Actinostolidae,Actinostolidae,,HigherOrder,Anthozoa,Actiniaria,Actinostolidae,,,,,worms
Adelogorgia phyllosclera,Adelogorgia phyllosclera,,Species,Anthozoa,Malacalcyonacea,Gorgoniidae,"McFadden, C.; Cordeiro, R.; Williams, G.; van Ofwegen, L. (2023). World List of Octocorallia. Adelogorgia phyllosclera Bayer, 1958. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=289357 on 2023-01-30","Bayer, 1958",289357,https://www.marinespecies.org/aphia.php?p=taxdetails&id=289357,worms
Adelosebastes latens,Adelosebastes latens,,Species,Actinopteri,Perciformes,Sebastidae,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Adelosebastes latens Eschmeyer, Abe & Nakano, 1979. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279508 on 2022-12-01","Eschmeyer, Abe & Nakano, 1979",279508,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279508,WORMS
Admete laevior,Admete laevior,,Species,Gastropoda,Neogastropoda,Cancellariidae,,,,,itis
Admete solida,Admete solida,,Species,Gastropoda,Neogastropoda,Cancellariidae,"MolluscaBase eds. (2022). MolluscaBase. Admete solida (Aurivillius, 1885). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=576338 on 2022-12-01","(Aurivillius, 1885)",576338,https://www.marinespecies.org/aphia.php?p=taxdetails&id=576338,WORMS
Aega,Aega,,HigherOrder,,,,,,,,worms
Aega psora,Aega psora,Fish louse,Species,Malacostraca,Isopoda,Aegidae,"Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2008 onwards). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Aega psora (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=118827 on 2022-12-19","(Linnaeus, 1758)",118827,https://www.marinespecies.org/aphia.php?p=taxdetails&id=118827,WORMS
Aeginina longicornis,Aeginina longicornis,Long-horned skeleton shrimp,Species,Malacostraca,Amphipoda,Caprellidae,"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fi<U+009A>er, C.; Gasca, R.; Grabowski, M.; Guerra-Garc<ed>a, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; L<f6>rz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; V<e4>in<f6>l<e4>, R.; Vonk, R.; White, K.; Zeidler, W. (2022). World Amphipoda Database. Aeginina longicornis (Kr<f8>yer, 1843). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=101820 on 2022-12-19","(Kr<f8>yer, 1843)",101820,https://www.marinespecies.org/aphia.php?p=taxdetails&id=101820,WORMS
Aequipecten,Aequipecten,,HigherOrder,Bivalvia,Pectinida,Pectinidae,,,,,worms
Aequipecten glyptus,Aequipecten glyptus,Red ribbed scallop,Species,Bivalvia,Pectinida,Pectinidae,"MolluscaBase eds. (2022). MolluscaBase. Aequipecten glyptus (A. E. Verrill, 1882). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=156732 on 2022-12-01","(A. E. Verrill, 1882)",156732,https://www.marinespecies.org/aphia.php?p=taxdetails&id=156732,WORMS
Aequorea,Aequorea,,HigherOrder,Hydrozoa,Leptothecata,Aequoreidae,,,,,worms
Aequorea sp.,Aequorea,,HigherOrder,Hydrozoa,Leptothecata,Aequoreidae,,,,,worms
